"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Gram stain"
166505,34079,"KCTC 62428, MCCC 1K03493",1,"Alkalilacustris brevis",negative
4267,MLHE-1,"DSM 17681, ATCC BAA 1101",1,"Alkalilimnicola ehrlichii",negative
134258,AC40,"JCM 14267, NCIMB 14266, CIP 109634",1,"Alkalimonas collagenimarina",negative
141088,JC227,"KCTC 15343, NBRC 110105",1,"Alkalispirochaeta cellulosivorans",negative
133913,JC133,"KCTC 15220, NBRC 109056",1,"Alkalispirochaeta sphaeroplastigenens",negative
130802,MN154.3,"DSM 14804, LMG 22842",1,"Alkanibacter difficilis",negative
131413,"AX1YC10, AX1YPE","DSM 21881, KCTC 15448",1,"Allochromatium humboldtianum",negative
2437,JA144,"DSM 19781, JCM 14796",1,"Allochromatium phaeobacterium",negative
2438,JA136,"DSM 18713, JCM 14262",1,"Allochromatium renukae",negative
132684,08HL01032,"DSM 102975, ATCC BAA 2361, CCUG 60119, NCTC 13503",1,"Allofrancisella guangzhouensis",negative
132682,,"DSM 101834, KCTC 42968, SYSU YG23",1,"Allofrancisella inopinata",negative
134310,,"KCCM 42675, NBRC 102683, IMCC 3113",1,"Allohahella antarctica",negative
132993,H94,"DSM 24882, CGMCC 1.10800, JCM 17555",1,"Allohahella marinimesophila",negative
23199,"81/4 12","DSM 22548, CCUG 58091, KCTC 15416",1,"Alloprevotella rava",negative
166247,,"KCTC 23617, CECT 7957, HME 7025",1,"Aquirufa nivalisilvae",negative
13641,DN316,"DSM 26385, CICC 10378, HAMBI 3454, LMG 23925",1,"Allorhizobium borbori",negative
134338,505,"LMG 24253, CGMCC 1.7048",1,"Allorhizobium oryzae",negative
24495,22DY03,"DSM 29329, CGMCC 1.12410, JCM 18866",1,"Allosediminivita pacifica",negative
14296,YC7378,"DSM 21593, KCTC 22446",1,"Allosphingosinicella vermicomposti",negative
159775,SH9,"JCM 32501, CCTCC AB 2017284",1,"Alsobacter soli",negative
133228,100921-2,"CFCC 14287, KCTC 42844",1,"Tsuneonella aeria",negative
166543,Ery1,"KCTC 62387, CGMCC 1.16499, MCCC 1A10037",1,"Pelagerythrobacter aerophilus",negative
133618,KYW147,"KCTC 22735, JCM 16339, UCCCB31",1,"Alteraurantiacibacter aestuarii",negative
166461,NS1,"CGMCC 1.13679, NBRC 113553",1,"Tsuneonella amylolytica",negative
140729,JSSK-8,"KCTC 52763, NBRC 112764",1,"Pontixanthobacter aquaemixtae",negative
166167,SSKS-13,"KACC 19863, KCTC 62900, NBRC 113545",1,"Alteraurantiacibacter aquimixticola",negative
133169,KEM-4,"KCTC 52259, NBRC 112305",1,"Pontixanthobacter confluentis",negative
140745,THG-S3,"KACC 19190, CGMCC 1.15959",1,"Tsuneonella deserti",negative
140988,BR-75,"CECT 9129, LMG 29518, BR 75, UCCCB41",1,"Altericroceibacterium endophyticum",negative
134236,JCS350T,"KCCM 42314, JCM 13815, CGMCC 1.7731",1,"Altererythrobacter epoxidivorans",negative
