"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Gram stain"
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,"Actinocatenispora thailandica",positive
16914,N3-7,"DSM 45040, JCM 13278, NRRL B-24429, BCRC 16845, CIP 109251, NBRC 106142, NCIMB 14302",1,"Actinocorallia cavernae",positive
132532,3H-GS17,"DSM 100595, CGMCC 4.7282, JCM 31763",1,"Actinocorallia lasiicapitis",positive
159707,A251,"CGMCC 4.7421, JCM 32178",1,"Actinocorallia populi",positive
132014,OB1,"DSM 45618, ATCC BAA 2771",1,"Actinocrinis puniceicyclus",positive
132668,MI503-A4,"DSM 45934, NBRC 109632",1,"Actinocrispum wychmicini",positive
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,"Actinokineospora acnipugnans",positive
13511,03-9939,"DSM 45114, CCM 7461, KCTC 19294, JCM 17965, NBRC 106985",1,"Actinokineospora alba",positive
13207,"ID 03-0561","DSM 45656, BTCC B554, NBRC 104211",1,"Actinokineospora baliensis",positive
24443,44EHW,"DSM 46700, BCC 53155, NBRC 108932",1,"Actinokineospora bangkokensis",positive
13209,"ID 03-0810","DSM 45657, BTCC B-558, NBRC 105526",1,"Actinokineospora cianjurensis",positive
13208,"ID 03-0784","DSM 45658, BTCC B555, NBRC 104212",1,"Actinokineospora cibodasensis",positive
13199,,"DSM 44255, IFO 15665, JCM 9921, KCTC 9569, MTCC 2687, NBRC 15665, IMSNU 22098, NCIMB 13657, NRRL B-24047, VKM Ac-1984",1,"Actinokineospora diospyrosa",positive
13200,,"DSM 44256, IFO 15664, JCM 9922, KCTC 9570, MTCC 2686, NBRC 15664, NCIMB 13658, NRRL B-24048, VKM Ac-1981",1,"Actinokineospora globicatena",positive
13202,,"DSM 44258, IFO 15663, JCM 9923, KCTC 9571, MTCC 2685, NBRC 15663, NCIMB 13659, NRRL B-24050, VKM Ac-1982",1,"Actinokineospora inagensis",positive
13210,,"DSM 45613, JCM 17695, YIM 75948, NBRC 111522",1,"Actinokineospora soli",positive
13204,,"DSM 44260, IFO 15668, JCM 9924, KCTC 9572, MTCC 2688, NBRC 15668, IMSNU 22094, NCIMB 13660, NRRL B-24049, VKM Ac-1983",1,"Actinokineospora terrae",positive
16995,,"DSM 45045, CCTCC AA 206005, CIP 109812, JCM 14906, NBRC 103884, YIM 45681",1,"Actinomadura alba",positive
16996,3-46-b(3),"DSM 45347, JCM 13933, MTCC 8057",1,"Actinomadura bangladeshensis",positive
158373,,"DSM 108647, NBRC 113074, TBRC 7225, GKU 128",1,"Actinomadura barringtoniae",positive
16997,3-45-a(11),"DSM 45346, JCM 13932, MTCC 8056",1,"Actinomadura chokoriensis",positive
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,"Actinomadura craniellae",positive
159889,,"CGMCC 4.7432, KCTC 39998, BMP B8004, JCM 33401",1,"Actinomadura deserti",positive
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,"Actinomadura flavalba",positive
17005,A8036,"DSM 45508, KCTC 19868, JCM 19952",1,"Actinomadura geliboluensis",positive
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316, TBRC 4745",1,"Actinomadura keratinilytica",positive
16929,"SSC 1256, 13-363","DSM 43764, ATCC 31588, CCRC 13146, IFO 14229, IMET 9741, JCM 3306, KCTC 9129, NBRC 14229, NCIMB 13755, NRRL 12069, NRRL B-16121, VKM Ac-874, BCRC 13416, CGMCC 4.2099, IMSNU 20006, MTCC 707, NRRL B-16261, BCRC 13146, IFO (now NBRC) 14229, SCC 1256",1,"Actinomadura kijaniata",positive
17002,"DLS-45, 5DSM 45252","DSM 45252, KCTC 19558, JCM 17440",1,"Actinomadura meridiana",positive
133428,BC44T-5,"FIRDI 002, BCRC 16873, LMG 24335, JCM 16702, NCIMB 14658",1,"Actinomadura miaoliensis",positive
140490,CYP1-1B,"JCM 16995, KCTC 39784, PCU 349, TISTR 2400",1,"Actinomadura montaniterrae",positive
16990,B60,"DSM 44846, JCM 13850, NRRL B-24319, NBRC 104150",1,"Actinomadura napierensis",positive
164563,LD22,"JCM 33455, CCTCC AA 2018050",1,"Actinomadura physcomitrii",positive
158374,SDA37,"DSM 108648, KCTC 39965, NBRC 112909, TISTR 2523",1,"Actinomadura rhizosphaerae",positive
166237,,"LMG 30035, CECT 9808, ATCC 53664",1,"Actinomadura roseirufa",positive
16991,"HMC 1","DSM 44962, JCM 14907, NRRL B-24458",1,"Actinomadura rudentiformis",positive
17003,CS5-AC15,"DSM 45251, KCTC 19559",1,"Actinomadura rupiterrae",positive
17001,"R-Ac121, 5DSM 45225","DSM 45225, KCTC 19488",1,"Actinomadura scrupuli",positive
133727,,"CCTCC AA 2010009, DSM 45500, YIM M 10931, JCM 31202",1,"Actinomadura sediminis",positive
24654,BK147,"DSM 46742, KACC 20919, NCIMB 14771, NRRL B-24852, JCM 32746, NBRC 109779",1,"Actinomadura xylanilytica",positive
177,M1327/95/1,"DSM 15435, CCUG 37421, CIP 106647",1,"Actinomyces bowdenii",positive
175,M1192/98/1,"DSM 15415, CCUG 41709, CIP 106507",1,"Actinomyces catuli",positive
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, KCTC 15232",1,"Actinomyces dentalis",positive
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,"Actinomyces gaoshouyii",positive
159,2-606-032,"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963, VPI 12594, CCUG 32936, CCUG 34703",1,"Actinomyces gerencseriae",positive
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,"Actinomyces graevenitzii",positive
190,"genospecies WVA 963, genospecies(serotype) WVA 963","DSM 23038, ATCC 49338, CCUG 34287, KCTC 15157, VPI D135D-26, JCM 16129",1,"Actinomyces johnsonii",positive
166249,2129,"CGMCC 4.7483, DSM 106426",1,"Actinomyces lilanjuaniae",positive
192,4401292,"DSM 23047, CCUG 53522, KCTC 15158, CSUR P18, JCM 16130",1,"Actinomyces massiliensis",positive
187,R5292,"KCTC 15234, DSM 17234, CCUG 46090, CIP 107639, Hall R5292, JCM 17565",1,"Actinomyces oricola",positive
193,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1,"Actinomyces timonensis",positive
178,,"DSM 15434, CCUG 38702, CIP 106421",1,"Actinomyces urogenitalis",positive
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,"Actinomyces vulturis",positive
196,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1,"Actinomyces weissii",positive
13499,,"DSM 45062, JCM 15998, NBRC 104400, YIM 0006, CCTCC AA 205017, TBRC 8064",1,"Actinomycetospora chiangmaiensis",positive
159747,"A-T 8314","TBRC 5722, NBRC 113235",1,"Actinomycetospora endophytica",positive
13507,IR73-Li102,"DSM 45811, KCTC 19783, NBRC 106365",1,"Actinomycetospora iriomotensis",positive
23221,RI109-Li102,"DSM 45862, KCTC 19782, NBRC 106356",1,"Actinomycetospora rishiriensis",positive
132566,MB20,"DSM 46746, CECT 8960",1,"Actinophytocola algeriensis",positive
24458,MN08-A0203,"DSM 46707, NBRC 105883, VTCC D9-23",1,"Actinophytocola burenkhanensis",positive
159716,,"KCTC 49002, CGMCC 4.7433, BMP B8152, JCM 33402",1,"Actinophytocola glycyrrhizae",positive
13512,,"DSM 45499, BCC 31372, NBRC 105245, JCM 17236, TBRC 158",1,"Actinophytocola oryzae",positive
133108,11-183,"KCTC 39690, MCCC 1K02062, DSM 109075",1,"Actinophytocola xanthii",positive
7847,A4029,"DSM 45518, KCTC 19984, NRRL B-24835, JCM 19953, NBRC 110796",1,"Actinoplanes abujensis",positive
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,"Actinoplanes atraurantiacus",positive
7841,GW8-1761,"CCUG 53409, DSM 45050, CIP 109316, JCM 15999, NBRC 106145",1,"Actinoplanes couchii",positive
7839,"A/6353, FH 2244","DSM 43865, ATCC 31048, BCRC 12121, CBS 355.75, IFO 13997, IMSNU 22127, JCM 3250, KCC A-0250, KCTC 9536, NBRC 13997, NCIMB 12636, NRRL B-16723, SANK 62178, CGMCC 4.5521",1,"Actinoplanes liguriensis",positive
140744,,"NRRL B-65484, DSM 105064, ATCC 33076",1,"Actinoplanes ramoplaninifer",positive
158014,M4147,"DSM 100965",1,"Actinoplanes sediminis",positive
130440,"A-T 6646","DSM 46706, BCC 46194, NBRC 109076",1,"Actinoplanes siamensis",positive
7842,03-723,"DSM 45183, CCM 7526, KCTC 19460, JCM 16605",1,"Actinoplanes sichuanensis",positive
164277,,"JCM 32512, CGMCC 4.7580, LAM 7112",1,"Actinoplanes solisilvae",positive
133187,"A-T 5400","BCC 42734, TBRC 5832, NBRC 109645, DSM 108650",1,"Actinoplanes subglobosus",positive
7818,"AB 8327, FH 2149","DSM 43866, ATCC 31121, BCRC 12106, FERM P-3462, IFO 13999, IMET 9254, IMSNU 20043, JCM 3252, KCC A-0252, KCTC 9543, NBRC 13999, NCIMB 12640, NRRL B-16726, SANK 60479, BCC 49180, NBIMCC 2300, TBRC 172",1,"Actinoplanes teichomyceticus",positive
7844,MN07-A0371,"DSM 45572, NBRC 105297, VTCC D9-10",1,"Actinoplanes tereljensis",positive
7845,MN07-A0368,"DSM 45573, NBRC 105298, VTCC D9-11",1,"Actinoplanes toevensis",positive
7843,03-8772,"DSM 45184, CCM 7527, KCTC 19461, JCM 16606, NBRC 106528",1,"Actinoplanes xinjiangensis",positive
11160,,"DSM 45243, CCTCC AA 208030, JCM 16897, YIM 48868",1,"Actinopolymorpha alba",positive
11161,"06-2230, I06-2230, 5DSM 45117, 5CCM 7466","DSM 45117, CCM 7466, KCTC 19293, JCM 17964, CPCC 202808",1,"Actinopolymorpha cephalotaxi",positive
11159,,"DSM 18448, CCTCC AA 206004, JCM 16537, YIM 45725",1,"Actinopolymorpha rutila",positive
11158,"IM 7744","DSM 22024, CIP 107343, JCM 10761, KCTC 19907, NBRC 100040, NRRL B-24113, NCIMB 14324",1,"Actinopolymorpha singaporensis",positive
24729,,"DSM 46731, CCTCC AA 2012020, KCTC 19657, TRM 40139, JCM 31477",1,"Actinopolyspora lacussalsi",positive
24730,H55,"DSM 45460, CCUG 62965",1,"Actinopolyspora mzabensis",positive
141087,HS05-03,"BCC 51286, NBRC 109078, DSM 108651",1,"Actinopolyspora salinaria",positive
24727,,"DSM 46732, CCTCC AA 209080, KCTC 19656, TRM 40136, JCM 31478",1,"Actinopolyspora xinjiangensis",positive
132380,,"DSM 45410, CCTCC AA 209065, YIM 75728",1,"Actinorectispora indica",positive
158702,"KC 198","CCTCC AA 2015043, KCTC 39718, JCM 33573",1,"Actinorectispora metalli",positive
140636,K12-0408,"NBRC 111897, TBRC 5327, DSM 108652",1,"Actinorhabdospora filicis",positive
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,"Actinospica acidiphila",positive
17635,GE134769,"DSM 44927, JCM 14908, NRRL B-24432, BCRC 16839, NBRC 102112",1,"Actinospica robiniae",positive
13211,101,"DSM 43827, ATCC 29888, IAM 14280, IFO 14064, IMET 9740, IMRU 3971, JCM 3225, KCC A-0225, NBRC 14064, BCRC 13449, IMSNU 20048, KCTC 9125, KCTC 9184, NCIMB 13271, NRRL B-12336, VKM Ac-843",1,"Actinosynnema mirum",positive
133106,EBR-4-2,"KCTC 33604, JCM 30447",1,"Actinotalea caeni",positive
133962,CF5-4,"KCTC 29134, CCTCC AB 2012198, DSM 112671, JCM 31479",1,"Actinotalea ferrariae",positive
158625,THG-T121,"KACC 19191, CGMCC 4.7389, JCM 32747",1,"Actinotalea solisilvae",positive
145,"B 5329","DSM 15541, CCUG 27420, CIP 105739, LMG 18293, CCM 4738",1,"Actinotignum schaalii",positive
146,R9242,"KCTC 15231, DSM 15805, CCUG 46093, CIP 107424",1,"Actinotignum urinale",positive
131515,KB18,"DSM 26090, KCTC 15540",1,"Acutalibacter muris",positive
22982,NR06,"DSM 22242, CCUG 57646, KCTC 15365",1,"Adlercreutzia caecicola",positive
3077,B7,"DSM 21839, CCUG 56815",1,"Adlercreutzia caecimuris",positive
3072,do03,"DSM 18785, JCM 14811, AHU 1763, KCTC 15587",1,"Adlercreutzia equolifaciens subsp. celata",positive
3073,FJC-B9,"DSM 19450, CCUG 54925, JCM 14793, KCTC 15235",1,"Adlercreutzia equolifaciens subsp. equolifaciens",positive
3076,Mt1B8,"DSM 19490, CCUG 54980",1,"Adlercreutzia mucosicola",positive
131531,WCA-131-CoC-2,"DSM 29508, KCTC 15543",1,"Adlercreutzia muris",positive
158560,N.8,"KCTC 33824, JCM 31580",1,"Aeribacillus composti",positive
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,"Aeriscardovia aeriphila",positive
226,UW06,"DSM 15819, CCM 4911, CCUG 28831, CIP 106115, JCM 18985, ATCC 48849, LMG 19525",1,"Aerococcus christensenii",positive
224,SS-1647,"DSM 15633, CCUG 43001, CDC 348-00, CIP 106533, JCM 11549, ATCC BAA 465",1,"Aerococcus sanguinicola",positive
227,1821/02,"DSM 21500, CCUG 52530, CECT 7139, JCM 18035, CIP 109714",1,"Aerococcus suis",positive
222,PUE,"CCUG 28094, CIP 103442, NCIMB 701636, DSM 20341, ATCC 29723, JCM 12519, NCDO 1636, LMG 11420, LMG 13989",1,"Aerococcus urinaeequi",positive
225,,"CCUG 42038 B, CCM 7338, DSM 15634, ATCC BAA 464, CCUG 42038b, CIP 106675, JCM 18987",1,"Aerococcus urinaehominis",positive
11058,KSL-107,"DSM 16824, CIP 108938, JCM 13518, KCTC 19073, BCRC 16830",1,"Aeromicrobium alkaliterrae",positive
133328,9H-4,"ZIM B1021, LMG 29165, CCM 8650, JCM 32379",1,"Aeromicrobium choanae",positive
11064,TYLN1,"DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625",1,"Aeromicrobium flavum",positive
11062,,"DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098",1,"Aeromicrobium ginsengisoli",positive
11066,,"DSM 24822, JCM 15749, KCCM 90079, KME 001",1,"Aeromicrobium halocynthiae",positive
159668,,"DSM 105424, NBRC 112936, CPCC 204604",1,"Aeromicrobium lacus",positive
139903,,"DSM 17940, CCUG 52475, KCTC 19130, Gsoil 137",1,"Aeromicrobium panacisoli",positive
11061,,"DSM 17939, CCUG 52476, KCTC 19131, Gsoil 161, JCM 16926, JCM 15303",1,"Aeromicrobium panaciterrae",positive
11065,HSW-1,"DSM 19178, KACC 20565, JCM 16375",1,"Aeromicrobium ponti",positive
11063,,"DSM 19087, JCM 13811, NRRL B-24466, CIP 109549",1,"Aeromicrobium tamlense",positive
12671,R27,"DSM 21549, JCM 14204, KCTC 19182, CIP 109737",1,"Aestuariimicrobium kwangyangense",positive
158420,D6,"DSM 105824, KCTC 39995",1,"Aestuariimicrobium soli",positive
132618,SR79,"DSM 100391, KCTC 15532, JCM 30795",1,"Agathobaculum butyriciproducens",positive
133155,,"ATCC 43058, CCUG 27818, JCM 6566",1,"Agathobaculum desmolans",positive
6668,,"DSM 18527, JCM 14202, NRIC 0689",1,"Agrilactobacillus composti",positive
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,"Agrilactobacillus yilanensis",positive
7256,"R-17892t 2","DSM 18061, CIP 109629, LMG 22410, JCM 14916",1,"Agrococcus casei",positive
7258,SSW1-48,"DSM 22002, JCM 14256, KCTC 19198",1,"Agrococcus jejuensis",positive
7255,K22-21,"DSM 17612, MTCC 7154, JCM 14301, CGMCC 1.7259, CGMCC 1.8869, NCIMB 14388",1,"Agrococcus lahaulensis",positive
24181,DNG5,"DSM 28114, CGMCC 1.6960, JCM 17488, NBRC 104260",1,"Agrococcus terreus",positive
7257,"K 114/01","DSM 19812, LMG 24386, CCUG 58092, JCM 16026",1,"Agrococcus versicolor",positive
7279,UMS-62,"DSM 21551, JCM 13584, KCTC 19181, CIP 109546",1,"Agromyces allii",positive
7281,P27,"DSM 23870, JCM 15913, KCTC 19593",1,"Agromyces atrinae",positive
132611,AR33,"DSM 101731, LMG 29235, JCM 32431",1,"Agromyces aureus",positive
7282,BZ41,"DSM 22275, CGMCC 1.8984, JCM 17735",1,"Agromyces bauzanensis",positive
132534,"OAct-353, OAct353","DSM 28305, CGMCC 4.7180, NRRL B-59115, JCM 32487",1,"Agromyces binzhouensis",positive
7283,,"DSM 22059, CCM 7623, KCTC 19578, CPCC 202695, JCM 30488, NBRC 109064",1,"Agromyces flavus",positive
7275,"CD 5","DSM 16389, NBRC 109085, NCIMB 14012, HKI 0327, JCM 14319, CIP 108741, IAM 15274",1,"Agromyces humatus",positive
141074,,"KCTC 39117, CCTCC AB 2014301, CFH S0483, JCM 31741, BCRC 16983",1,"Agromyces insulae",positive
7276,CD1,"DSM 16388, NCIMB 14011, HKI 0325, JCM 14320, IAM 15273",1,"Agromyces italicus",positive
7274,CD55,"DSM 16390, NCIMB 14013, HKI 0324, JCM 14321, IAM 15275",1,"Agromyces lapidis",positive
7272,23-23,"DSM 16197, CIP 108987, NBRC 109084, HKI 0321, JCM 14322, IAM 15296, NCIMB 13990",1,"Agromyces neolithicus",positive
7273,"108989, 20-5","DSM 16198, HKI 0320, JCM 14323, CIP 108989, IAM 15297, NCIMB 13989",1,"Agromyces salentinus",positive
24183,MJ21,"DSM 27631, JCM 16247, KCTC 19549, MTCC 11074, NBRC 109063",1,"Agromyces soli",positive
7277,Z33,"DSM 16689, NCIMB 14025, HKI 0340, JCM 14324, IAM 15298",1,"Agromyces subbeticus",positive
159616,SJ-23,"DSM 105049, CGMCC 4.7419",1,"Agromyces tardus",positive
7280,DS-10,"DSM 22016, JCM 14581, KCTC 19216",1,"Agromyces terreus",positive
24182,CM9-9,"DSM 27936, BCC 34764, JCM 15672, MTCC 11075, NBRC 109073",1,"Agromyces tropicus",positive
7270,XIL01,"DSM 15747, CIP 108592, LMG 21954, NBRC 109083, JCM 13315, IAM 15233",1,"Agromyces ulmi",positive
11043,,"DSM 45001, KCTC 19149, YIM 45607, JCM 15626",1,"Aldersonia kunmingensis",positive
414,TA-67,"DSM 14558, IAM 14935, NRIC 0496, JCM 21417, CIP 107723, NBRC 100859",1,"Alicyclobacillus acidiphilus",positive
429,3-A191,"DSM 17975, IAM 15224, JCM 21678, NBRC 103102",1,"Alicyclobacillus contaminans",positive
430,S-TAB,"DSM 17978, IAM 15229, JCM 21683, NBRC 103109",1,"Alicyclobacillus fastidiosus",positive
435,TC-34,"DSM 22381, CGMCC 1.6357, JCM 15090",1,"Alicyclobacillus ferrooxydans",positive
431,5-A83J,"DSM 17979, IAM 15227, JCM 21681, NBRC 103104",1,"Alicyclobacillus kakegawensis",positive
432,5A-239-2O-A,"DSM 17980, IAM 15370, JCM 21814",1,"Alicyclobacillus macrosporangiidus",positive
158721,USBA-GBX-503,"CMPUJ UGB U503, CBMAI 1927",1,"Alicyclobacillus montanus",positive
428,RB-718,"DSM 17974, IAM 15230, JCM 21684, NBRC 103105",1,"Alicyclobacillus sacchari",positive
433,4A-336,"DSM 17981, IAM 15226, JCM 21680, NBRC 103103",1,"Alicyclobacillus shizuokensis",positive
130150,ACK006,"DSM 25924, KCTC 33022",1,"Alicyclobacillus tengchongensis",positive
425,CsHg2,"DSM 16176",1,"Alicyclobacillus vulcanalis",positive
545,4AG,"DSM 15448, ATCC BAA 956, CIP 109217, JCM 13893",1,"Alkalibacillus filiformis",positive
549,ISL-17,"DSM 23520, CCUG 56753, KCTC 13258, ISL -17",1,"Alkalibacillus flavidus",positive
548,,"DSM 17369, KCTC 3990, YIM 012",1,"Alkalibacillus halophilus",positive
546,"BH163, 9.101","DSM 16460, JCM 13894, KCTC 3916, CIP 108970",1,"Alkalibacillus salilacus",positive
547,BM2,"DSM 18495, JCM 14193",1,"Alkalibacillus silvisoli",positive
22946,3AD-1,"DSM 25751, JCM 18271",1,"Alkalibacterium gilvum",positive
134116,M3,"JCM 12662, NCIMB 14024, BCRC 17791, CIP 108873",1,"Alkalibacterium iburiense",positive
2243,T22-1-2,"DSM 19180, NBRC 103247, NRIC 0724",1,"Alkalibacterium kapii",positive
2246,T143-1-1,"DSM 19183, NBRC 103242, NRIC 0719",1,"Alkalibacterium pelagium",positive
2245,T129-2-1,"DSM 19182, NBRC 103243, NRIC 0720",1,"Alkalibacterium putridalgicola",positive
2244,T117-1-2,"DSM 19181, NBRC 103241, NRIC 0718",1,"Alkalibacterium thalassium",positive
1278,,"DSM 19154, LMG 21005, NCIMB 14102",1,"Alkalicoccobacillus murimartini",positive
1277,CG-15,"DSM 18086, CCM 7371, CECT 7153, CGMCC 1.6292",1,"Alkalicoccus chagannorensis",positive
22921,,"DSM 26767, CGMCC 1.10369, DLS 13, JCM 17097, NBRC 107572",1,"Alkalicoccus daliensis",positive
140264,BZ-SZ-XJ29,"DSM 29191, CGMCC 1.12936, JCM 30193",1,"Alkalicoccus halolimnae",positive
1235,6AG,"DSM 15402, ATCC BAA 957",1,"Alkalicoccus saliphilus",positive
132547,BZ-SZ-XJ18,"DSM 29145, JCM 30195",1,"Alkalicoccus urumqiensis",positive
572,1,"DSM 485, ATCC 27647, JCM 5262, NCIB 10436, NCIB 8772, NCTC 4553, CCUG 28516, NRRL B-14309, BCRC 15419, CECT 1, CGMCC 1.3604, CIP 103410, IAM 12461, IFO 15653, KCTC 1824, KCTC 3884, LMG 17938, LMG 7120, NBRC 15653, NCIMB 10436, NCIMB 8772, NRRL NRS-1548, VTT E-87298",1,"Alkalihalobacillus alcalophilus",positive
1229,JMM-4,"DSM 16346, CIP 108766, JCM 12340",1,"Alkalihalobacillus macyae",positive
1294,SU1,"DSM 25300, KCTC 13244, NBRC 102646",1,"Alkalihalobacillus trypoxylicola",positive
1300,GMBAE72,"DSM 21297, JCM 15719, GMBE 72",1,"Alkalihalophilus marmarensis",positive
140294,X-07-02,"DSM 26418, VKM B-2746",1,"Alkaliphilus namsaraevii",positive
17816,SC/BZ-SP2,"DSM 24412, ATCC BAA 2172",1,"Alkalitalea saponilacus",positive
133636,B3A,"BCRC 17939, LMG 24826",1,"Allobacillus halotolerans",positive
141012,,"NBRC 110719, DSM 29531, CPCC 204077",1,"Allobranchiibius huperziae",positive
8051,Sco-B14,"DSM 45362, KCTC 19661",1,"Allocatelliglobosispora scoriae",positive
140855,MWE-A11,"JCM 19371, KCTC 29232",1,"Allohumibacter endophyticus",positive
2249,,"DSM 7252, ATCC 51267, NCFB 2890, CCUG 32997",1,"Alloiococcus otitis",positive
24457,,"DSM 45532, JCM 17342, YIM 120521",1,"Allokutzneria multivorans",positive
11192,I10A-01259,"DSM 45601, CPCC 203428, KCTC 19844, JCM 31480, JCM 31481",1,"Allonocardiopsis opalescens",positive
23792,M8,"DSM 24762, CCM 7944",1,"Alloscardovia macacae",positive
1767,,"DSM 21503, CCUG 31649, LMG 23792, CIP 109610",1,"Alloscardovia omnicolens",positive
160006,"GLDI 4/2, GLDI4/2","DSM 106019, JCM 32430",1,"Alloscardovia theropitheci",positive
140346,MOZIV/2,"DSM 100237, CCM 8604, LMG 28781",1,"Alloscardovia venturai",positive
133062,,"DSM 42178, CGMCC 4.7247, YIM DR4008",1,"Allostreptomyces psammosilenae",positive
133205,JC229,"LMG 28999, KCTC 33726",1,"Alteribacillus alkaliphilus",positive
1573,P4B,"DSM 25260, CCM 7963, CECT 7998, IBRC-M 10614, KCTC 13821",1,"Alteribacillus bidgolensis",positive
1317,X5B,"DSM 23995, IBRC 10446",1,"Alteribacillus iranensis",positive
1572,HS136,"DSM 21632, CCM 7595, JCM 15720, LMG 25222",1,"Alteribacillus persepolensis",positive
1254,K1-5,"DSM 18675, CCM 7447, NCAIM B002265",1,"Alteribacter aurantiacus",positive
158376,FH042,"DSM 103574, JCM 31555",1,"Aminipila butyrica",positive
16790,SR,"DSM 19636, VKM B-2461",1,"Ammonifex thiophilus",positive
158714,1T4Z-3,"KCTC 39983, CGMCC 1.16066",1,"Amnibacterium endophyticum",positive
166423,M8JJ-5,"KCTC 49089, CGMCC 1.16390",1,"Amnibacterium flavum",positive
7508,KSL51201-037,"DSM 24782, JCM 16463, KEMC 51201-037, KACC 15557, NBRC 109360",0,"Amnibacterium kyonggiense",positive
134038,PB243,"KCTC 33147, JCM 19015, DSM 107362",1,"Amnibacterium soli",positive
