,Accession,Host,Isolation Host,staining
73,EU744252,Mycobacterium,Mycobacterium sp.,positive
74,EU744251,Mycobacterium,Mycobacterium sp.,positive
75,EU744250,Mycobacterium,Mycobacterium sp.,positive
76,EU744249,Mycobacterium,Mycobacterium sp.,positive
77,EU744248,Mycobacterium,Mycobacterium sp.,positive
78,EF536069,Mycobacterium,Mycolicibacterium smegmatis,positive
79,DQ398053,Mycobacterium,Mycobacterium sp.,positive
80,DQ398050,Mycobacterium,Mycobacterium sp.,positive
81,DQ398048,Mycobacterium,Mycobacterium sp.,positive
82,DQ398043,Mycobacterium,Mycobacterium sp.,positive
83,DQ398049,Mycobacterium,Mycobacterium sp.,positive
84,DQ398046,Mycobacterium,Mycobacterium sp.,positive
85,DQ398045,Mycobacterium,Mycobacterium sp.,positive
86,DQ398044,Mycobacterium,Mycobacterium sp.,positive
87,DQ398041,Mycobacterium,Mycobacterium sp.,positive
88,AY500153,Mycobacterium,Mycobacterium sp.,positive
89,AY500152,Mycobacterium,Mycobacterium sp.,positive
90,AF547430,Mycobacterium,Mycobacterium sp.,positive
91,AY129338,Mycobacterium,Mycobacterium sp.,positive
92,AY129337,Mycobacterium,Mycobacterium sp.,positive
93,AY129335,Mycobacterium,Mycobacterium sp.,positive
94,AY129334,Mycobacterium,Mycobacterium sp.,positive
95,AY129331,Mycobacterium,Mycobacterium sp.,positive
96,OR045358,Acinetobacter,Acinetobacter baumannii,negative
97,OR045357,Acinetobacter,Acinetobacter baumannii,negative
98,OR045356,Acinetobacter,Acinetobacter baumannii,negative
99,OR045355,Acinetobacter,Acinetobacter baumannii,negative
100,OR296439,Bacteroides,Bacteroides uniformis,negative
101,OR296438,Bacteroides,Bacteroides uniformis,negative
102,OR296437,Bacteroides,Bacteroides uniformis,negative
103,OR243293,Vibrio,Vibrio sp.,negative
104,OR062950,Staphylococcus,Staphylococcus aureus,positive
105,OR062949,Staphylococcus,Staphylococcus aureus,positive
106,OR062948,Staphylococcus,Staphylococcus aureus,positive
107,OR062947,Escherichia,Escherichia coli,negative
108,OR062946,Escherichia,Escherichia coli,negative
109,OR062945,Escherichia,Escherichia coli,negative
110,OR062944,Escherichia,Escherichia coli,negative
111,OR062943,Escherichia,Escherichia coli,negative
112,OR437326,Escherichia,Escherichia coli,negative
113,OM782678,Vibrio,Vibrio sp.,negative
114,ON470615,Escherichia,Escherichia coli,negative
116,MT360680,Klebsiella,Klebsiella pneumoniae,negative
117,MN518893,Escherichia,Escherichia coli,negative
118,MN518894,Escherichia,Escherichia coli,negative
119,MT360682,Vibrio,Vibrio cholerae,negative
120,MN715150,Citrobacter,Citrobacter freundii,negative
121,MN218775,Escherichia,Escherichia coli,negative
122,MN164484,Escherichia,Escherichia coli,negative
123,OQ357823,Escherichia,Escherichia coli,negative
124,MT360681,Shigella,Shigella dysenteriae,negative
125,MN545971,Citrobacter,Citrobacter amalonaticus,negative
126,OR067838,Escherichia,Escherichia coli,negative
127,OR067837,Salmonella,Salmonella enterica,positive
128,OR067836,Serratia,Serratia liquefaciens,negative
129,OR067835,Salmonella,Salmonella enterica,positive
130,OR067834,Escherichia,Escherichia coli,negative
131,OR067833,Serratia,Serratia marcescens,negative
132,OR083247,Escherichia,Escherichia coli,negative
133,OR367448,Ralstonia,Ralstonia pseudosolanacearum,negative
134,OR125561,Erwinia,Erwinia sp.,negative
135,OQ985170,Lactococcus,Lactococcus lactis,positive
136,OQ985169,Lactococcus,Lactococcus lactis,positive
137,OQ985168,Lactococcus,Lactococcus lactis,positive
138,OQ985167,Lactococcus,Lactococcus lactis,positive
139,OQ985166,Lactococcus,Lactococcus lactis,positive
140,OQ985165,Lactococcus,Lactococcus lactis,positive
141,OQ985164,Lactococcus,Lactococcus lactis,positive
142,OQ985163,Lactococcus,Lactococcus lactis,positive
143,OQ985162,Lactococcus,Lactococcus lactis,positive
144,OQ985161,Lactococcus,Lactococcus lactis,positive
147,OQ938542,Escherichia,Escherichia coli,negative
148,OQ938541,Escherichia,Escherichia coli,negative
149,OQ938574,Achromobacter,Achromobacter xylosoxidans,negative
150,OQ870568,Escherichia,Escherichia coli,negative
151,OQ870567,Escherichia,Escherichia coli,negative
152,OQ870566,Escherichia,Escherichia coli,negative
153,OQ850971,Halorubrum,Halorubrum sp.,negative
154,OQ850970,Halorubrum,Halorubrum sp.,negative
155,OQ504984,Synechococcus,Parasynechococcus marenigrum,negative
156,OQ504983,Synechococcus,Parasynechococcus marenigrum,negative
157,OQ504982,Synechococcus,Parasynechococcus marenigrum,negative
158,OQ504981,Synechococcus,Synechococcus sp.,negative
159,OQ504980,Synechococcus,Synechococcus sp.,negative
160,OQ504979,Synechococcus,Parasynechococcus marenigrum,negative
161,OQ927978,Salmonella,Salmonella enterica,positive
162,ON531988,Acinetobacter,Actinebacter nosocomialis,negative
163,ON531987,Acinetobacter,Actinebacter nosocomialis,negative
164,ON528933,Arthrobacter,Arthrobacter sp.,positive
166,KY608967,Escherichia,Escherichia coli,negative
167,OQ508958,Pseudoalteromonas,Pseudoaltermonas tunicata,negative
168,OQ508957,Alishewanella,Alishewanella sp.,negative
169,OQ508956,Alishewanella,Alishewanella sp.,negative
174,OR228483,Escherichia,Escherichia coli,negative
175,OR122689,Salmonella,Salmonella sp.,positive
176,OR122688,Salmonella,Salmonella sp.,positive
177,OR122687,Salmonella,Salmonella sp.,positive
178,OR195094,Mycobacterium,Mycobacterium sp.,positive
179,MN158218,Escherichia,Escherichia coli,negative
180,MN158217,Escherichia,Escherichia coli,negative
181,MN158216,Escherichia,Escherichia coli,negative
182,MN158215,Escherichia,Escherichia coli,negative
183,MN158214,Escherichia,Escherichia coli,negative
184,MN158213,Escherichia,Escherichia coli,negative
185,MN158212,Escherichia,Escherichia coli,negative
186,MN158211,Escherichia,Escherichia coli,negative
187,MN158210,Escherichia,Escherichia coli,negative
188,MN158209,Escherichia,Escherichia coli,negative
189,MN158208,Escherichia,Escherichia coli,negative
190,MN158207,Escherichia,Escherichia coli,negative
191,MN158206,Escherichia,Escherichia coli,negative
192,OR145793,Klebsiella,Klebsiella pneumoniae,negative
193,OR145792,Klebsiella,Klebsiella pneumoniae,negative
194,OQ361773,Cronobacter,Cronobacter dublinensis,negative
195,ON157416,Cronobacter,Cronobacter sakazakii,negative
196,OL828291,Enterobacter,Enterobacter cloacae,negative
197,OL828290,Enterobacter,Enterobacter cloacae,negative
198,OL849997,Enterobacter,Enterobacter cloacae,negative
199,ON968456,Pseudanabaena,Pseudanabaena sp.,negative
200,ON968455,Pseudanabaena,Pseudanabaena sp.,negative
201,ON968454,Pseudanabaena,Pseudanabaena sp.,negative
202,ON968453,Pseudanabaena,Pseudanabaena sp.,negative
203,ON968452,Pseudanabaena,Pseudanabaena sp.,negative
204,MZ398245,Klebsiella,Klebsiella pneumoniae,negative
205,MZ573780,Mammaliicoccus,Mammaliicoccus sciuri,positive
206,OQ745668,Vibrio,Vibrio alginolyticus,negative
207,OQ627802,Lactobacillus,Lactobacillus helveticus,positive
208,OQ627808,Lactobacillus,Lactobacillus helveticus,positive
209,OQ627807,Lactobacillus,Lactobacillus helveticus,positive
210,OQ627806,Lactobacillus,Lactobacillus helveticus,positive
211,OQ627805,Lactobacillus,Lactobacillus helveticus,positive
212,OQ627804,Lactobacillus,Lactobacillus helveticus,positive
213,OQ627803,Lactobacillus,Lactobacillus helveticus,positive
214,MK630230,Klebsiella,Klebsiella pneumoniae,negative
216,OK896991,Geobacillus,Geobacillus stearothermophilus,positive
217,OQ955832,Escherichia,Multidrug resistant,negative
219,OR231920,Klebsiella,Klebsiella variicola,negative
220,OR231919,Klebsiella,Klebsiella variicola,negative
221,OR231918,Klebsiella,Klebsiella variicola,negative
222,OR231917,Klebsiella,Klebsiella variicola,negative
223,OR231916,Klebsiella,Klebsiella variicola,negative
224,OR231915,Klebsiella,Klebsiella variicola,negative
225,OQ076693,Escherichia,Escherichia coli,negative
226,OQ860987,Salmonella,Salmonella enterica,positive
227,OQ860986,Salmonella,Salmonella enterica,positive
228,OQ860984,Salmonella,Salmonella enterica,positive
229,OQ291079,Salmonella,Salmonella enterica,positive
230,OQ291078,Salmonella,Salmonella enterica,positive
231,OQ291077,Salmonella,Salmonella enterica,positive
232,OQ291076,Salmonella,Salmonella enterica,positive
233,OQ291075,Salmonella,Salmonella enterica,positive
234,OQ291074,Salmonella,Salmonella enterica,positive
235,OQ291073,Salmonella,Salmonella enterica,positive
236,OQ291072,Salmonella,Salmonella enterica,positive
237,OQ291071,Salmonella,Salmonella enterica,positive
238,OQ291070,Salmonella,Salmonella enterica,positive
239,OQ291069,Salmonella,Salmonella enterica,positive
240,OQ291068,Salmonella,Salmonella enterica,positive
241,OQ291067,Salmonella,Salmonella enterica,positive
242,OQ291066,Salmonella,Salmonella enterica,positive
243,OQ291065,Salmonella,Salmonella enterica,positive
244,OQ291064,Salmonella,Salmonella enterica,positive
245,OQ291063,Salmonella,Salmonella enterica,positive
246,OQ291062,Salmonella,Salmonella enterica,positive
247,OQ291061,Salmonella,Salmonella enterica,positive
248,OQ291060,Salmonella,Salmonella enterica,positive
249,OQ291059,Salmonella,Salmonella enterica,positive
250,OQ291058,Salmonella,Salmonella enterica,positive
251,OQ291057,Salmonella,Salmonella enterica,positive
252,OQ291056,Salmonella,Salmonella enterica,positive
253,OQ291055,Salmonella,Salmonella enterica,positive
254,OQ291054,Salmonella,Salmonella enterica,positive
255,OQ291053,Salmonella,Salmonella enterica,positive
256,OQ291052,Salmonella,Salmonella enterica,positive
257,OQ291051,Salmonella,Salmonella enterica,positive
258,OQ291049,Salmonella,Salmonella enterica,positive
259,OQ291048,Salmonella,Salmonella enterica,positive
260,OQ291047,Salmonella,Salmonella enterica,positive
261,OQ291046,Salmonella,Salmonella enterica,positive
262,OQ291045,Salmonella,Salmonella enterica,positive
263,OQ291044,Salmonella,Salmonella enterica,positive
264,OQ291043,Salmonella,Salmonella enterica,positive
265,OQ291042,Salmonella,Salmonella enterica,positive
266,OQ291041,Salmonella,Salmonella enterica,positive
267,OQ291040,Salmonella,Salmonella enterica,positive
268,OQ291039,Salmonella,Salmonella enterica,positive
269,OQ291038,Salmonella,Salmonella enterica,positive
270,OQ291037,Salmonella,Salmonella enterica,positive
271,OQ291036,Salmonella,Salmonella enterica,positive
272,OQ291035,Salmonella,Salmonella enterica,positive
273,OQ291034,Salmonella,Salmonella enterica,positive
274,OQ291033,Salmonella,Salmonella enterica,positive
275,OQ291032,Salmonella,Salmonella enterica,positive
276,OQ291031,Salmonella,Salmonella enterica,positive
277,OQ291030,Salmonella,Salmonella enterica,positive
278,OQ291029,Salmonella,Salmonella enterica,positive
279,OQ291028,Salmonella,Salmonella enterica,positive
280,OQ291027,Salmonella,Salmonella enterica,positive
281,OQ291026,Salmonella,Salmonella enterica,positive
282,OQ291025,Salmonella,Salmonella enterica,positive
283,OQ291024,Salmonella,Salmonella enterica,positive
284,OQ291023,Salmonella,Salmonella enterica,positive
285,OQ291022,Salmonella,Salmonella enterica,positive
286,OQ291021,Salmonella,Salmonella enterica,positive
287,OQ291020,Salmonella,Salmonella enterica,positive
288,OP131588,Acidovorax,Acidovorax cattleyae,negative
289,OP131590,Acidovorax,Acidovorax valerianellae,negative
290,OP131589,Acidovorax,Acidovorax valerianellae,negative
291,OP131587,Acidovorax,Acidovorax valerianellae,negative
292,ON548431,Escherichia,Escherichia coli,negative
293,OM049504,Acidovorax,Paracidovorax oryzae,negative
294,OR061069,Escherichia,Escherichia sp.,negative
295,OR061068,Escherichia,Escherichia sp.,negative
296,OQ985197,Mycobacterium,Mycolicobacterium smegmatis,positive
297,OR147960,Vibrio,Vibrio harveyi,negative
298,OR052631,Enterococcus,Enterococcus faecalis,positive
300,OQ957557,Enterobacter,Enterobacter sp.,negative
301,OQ939567,Pectobacterium,Pectobacterium sp.,negative
302,OQ866599,Enterococcus,Enterococcus faecalis,positive
305,OQ871562,Klebsiella,Klebsiella pneumoniae,negative
306,OQ716682,Yersinia,Yersinia enterocolitica,negative
307,OR185440,Erwinia,Erwinia sp.,negative
308,OQ982387,Acinetobacter,Acinetobacter baumannii,negative
310,OR125554,Escherichia,Escherichia coli,negative
311,OR050820,Klebsiella,Klebsiella pneumoniae,negative
312,OQ988004,Mycobacteroides,Mycobacteroides abscessus,positive
313,OQ974181,Achromobacter,Achromobacter xylosoxidans,negative
315,OR053651,Salmonella,Salmonella sp.,positive
316,OQ540924,Nostoc,Nostoc sp.,negative
317,OQ540923,Microcystis,Microcystis sp.,negative
318,OQ680139,Escherichia,Escherichia coli,negative
319,OQ680138,Escherichia,Escherichia coli,negative
320,MW462221,Campylobacter,Campylobacter coli,negative
321,OR199846,Mycobacterium,Mycolicobacterium smegmatis,positive
325,OR228402,Salmonella,Salmonella enterica,positive
327,OR106137,Klebsiella,Klebsiella oxytoca,negative
328,OR001929,Salmonella,Salmonella enterica,positive
329,OQ221560,Bacteroides,Bacteroides intestinalis,negative
330,OQ221558,Bacteroides,Bacteroides intestinalis,negative
331,OQ221555,Bacteroides,Bacteroides intestinalis,negative
332,ON365567,Aeromonas,Aeromonas hydrophila,negative
334,OP918135,Vibrio,Vibrio cyclitrophicus,negative
336,OM328157,Klebsiella,Klebsiella sp.,negative
337,OM103621,Klebsiella,Klebsiella sp.,negative
340,OR209256,Stenotrophomonas,Stenotrophomonas maltophilia,negative
341,OR206057,Staphylococcus,methicillin-resistant Staphylococcus,positive
342,OQ858564,Vibrio,Vibrio parahaemolyticus,negative
343,OR138018,Klebsiella,Klebsiella pneumoniae,negative
344,OR138017,Klebsiella,Klebsiella pneumoniae,negative
345,OR138016,Klebsiella,Klebsiella pneumoniae,negative
346,OR138015,Klebsiella,Klebsiella pneumoniae,negative
347,OR088903,Ralstonia,Ralstonia solanacearum,negative
348,OQ834936,Shigella,Shigella dysenteriae,negative
349,FR823450,Campylobacter,Campylobacter jejuni,negative
350,FN667788,Campylobacter,Campylobacter sp.,negative
351,MZ611865,Stenotrophomonas,Stenotrophomonas maltophilia,negative
352,AM156909,Escherichia,Escherichia Coli,negative
353,OQ851295,Vibrio,Vibrio parahaemolyticus,negative
355,OQ864999,Campylobacter,Campylobacter jejuni,negative
356,OQ829630,Salmonella,Salmonella sp.,positive
357,OQ570641,Citrobacter,Citrobacter freundii,negative
358,OQ734493,Klebsiella,Klebsiella pneumoniae,negative
359,OR039357,Cutibacterium,Cutibacterium acnes,positive
360,OQ832096,Halomonas,Halomonas meridiana,negative
361,OQ819159,Klebsiella,Klebsiella pneumoniae,negative
362,OR234014,Staphylococcus,Staphylococcus aureus,positive
363,OQ999402,Synechococcus,Synechococcus sp.,negative
364,OQ999401,Actinomycetia,Actinomycetia bacterium,positive
365,OR032571,Synechococcus,Synechococcus sp.,negative
366,OR003938,Synechococcus,Synechococcus sp.,negative
367,OR126895,Acinetobacter,Acinetobacter baumannii,negative
368,OQ993070,Vibrio,Vibrio parahaemolyticus,negative
369,OR088902,Serratia,Serratia sp.,negative
370,OR088901,Arthrobacter,Arthrobacter sp.,positive
371,OQ999172,Listeria,Listeria innocua,positive
372,OQ999171,Vibrio,Vibrio parahaemolyticus,negative
375,OP019135,Acinetobacter,Acinetobacter baumannii,negative
377,OP087522,Escherichia,Escherichia coli,negative
378,OQ791410,Escherichia,Escherichia coli,negative
395,OQ547903,Acinetobacter,Acinetobacter nosocomialis,negative
396,OQ860985,Salmonella,Salmonella enterica,positive
397,OQ860983,Salmonella,Salmonella enterica,positive
398,OQ860982,Salmonella,Salmonella enterica,positive
399,OQ860981,Salmonella,Salmonella enterica,positive
400,OQ860980,Salmonella,Salmonella enterica,positive
401,OQ860979,Salmonella,Salmonella enterica,positive
402,OQ860978,Salmonella,Salmonella enterica,positive
403,OQ860977,Salmonella,Salmonella enterica,positive
404,OQ860976,Salmonella,Salmonella enterica,positive
405,OQ860975,Salmonella,Salmonella enterica,positive
406,OQ860974,Salmonella,Salmonella enterica,positive
407,OQ860973,Salmonella,Salmonella enterica,positive
408,OQ860972,Salmonella,Salmonella enterica,positive
409,OQ860971,Salmonella,Salmonella enterica,positive
410,OQ860970,Salmonella,Salmonella enterica,positive
411,OQ860969,Salmonella,Salmonella enterica,positive
412,OQ860968,Salmonella,Salmonella enterica,positive
413,OQ860967,Salmonella,Salmonella enterica,positive
414,OQ860966,Salmonella,Salmonella enterica,positive
415,OQ860965,Salmonella,Salmonella enterica,positive
416,OQ860964,Salmonella,Salmonella enterica,positive
417,OQ860963,Salmonella,Salmonella enterica,positive
418,OQ860962,Salmonella,Salmonella enterica,positive
419,OP558005,Klebsiella,Klebsiella pneumoniae,negative
420,OP558004,Klebsiella,Klebsiella pneumoniae,negative
421,OP558003,Klebsiella,Klebsiella pneumoniae,negative
422,OP558002,Klebsiella,Klebsiella pneumoniae,negative
423,OP558001,Klebsiella,Klebsiella pneumoniae,negative
424,OQ689735,Escherichia,Escherichia coli,negative
425,OQ689734,Escherichia,Escherichia coli,negative
426,OQ378934,Escherichia,Escherichia coli,negative
427,OQ915374,Staphylococcus,Staphylococcus aureus,positive
428,OQ846916,Alicyclobacillus,Alicyclobacillus acidoterrestris,positive
429,OQ790161,Xanthomonas,Xanthomonas sp.,negative
431,OR039881,Vibrio,Vibrio cholerae,negative
432,OP515798,Salmonella,Salmonella enterica,positive
433,OQ973471,Escherichia,Escherichia coli,negative
434,OR088869,Cutibacterium,Cutibacterium acnes,positive
435,OR088597,Listeria,Listeria monocytogenes,positive
436,OQ790081,Klebsiella,Klebsiella pneumoniae,negative
437,OQ790080,Klebsiella,Klebsiella pneumoniae,negative
438,OQ790079,Klebsiella,Klebsiella pneumoniae,negative
439,OQ790078,Klebsiella,Klebsiella pneumoniae,negative
440,OQ729742,Proteus,Proteus mirabilis,negative
441,OQ729741,Proteus,Proteus mirabilis,negative
442,OQ540978,Escherichia,Escherichia coli,negative
443,OR050521,Klebsiella,Klebsiella pneumoniae,negative
444,OQ326496,Enterocloster,Enterocloster bolteae,positive
445,OQ845959,Salmonella,Salmonella sp.,positive
447,OR089151,Riemerella,Riemerella anatipestifer,negative
457,OR075895,Acinetobacter,Acinetobacter baumannii,negative
458,OQ834252,Riemerella,Riemerella anatipestifer,negative
459,OQ622006,Klebsiella,Klebsiella sp.,negative
460,OQ622005,Klebsiella,Klebsiella sp.,negative
465,OR062530,Escherichia,Escherichia coli,negative
466,OR062529,Escherichia,Escherichia coli,negative
467,OR062528,Escherichia,Escherichia coli,negative
468,OR062527,Escherichia,Escherichia coli,negative
469,OR062526,Escherichia,Escherichia coli,negative
470,OR062525,Escherichia,Escherichia coli,negative
471,OR062524,Escherichia,Escherichia coli,negative
472,OP534061,Enterococcus,Enterococcus faecium,positive
474,OP778610,Escherichia,Escherichia coli,negative
475,OP778609,Escherichia,Escherichia coli,negative
476,OP894077,Listeria,Listeria monocytogenes,positive
477,OP744025,Escherichia,Escherichia coli,negative
478,OQ660438,Salmonella,Salmonella sp.,positive
479,OQ660437,Salmonella,Salmonella sp.,positive
480,OP745420,Enterococcus,Enterococcus faecium,positive
481,OP745419,Enterococcus,Enterococcus faecium,positive
482,OQ789245,Riemerella,Riemerella anatipestifer,negative
483,OQ708377,Escherichia,Escherichia coli,negative
484,OQ708376,Escherichia,Escherichia coli,negative
485,OQ944321,Escherichia,Escherichia coli,negative
499,OQ927986,Shewanella,Shewanella,negative
503,OQ730192,Acinetobacter,Acinetobacter baumannii,negative
504,OQ338184,Staphylococcus,Staphylococcus aureus,positive
505,OQ338183,Staphylococcus,Staphylococcus aureus,positive
510,OR050522,Salmonella,Salmonella enterica,positive
511,OR050627,Chryseobacterium,Chryseobacterium indologenes,negative
513,OQ871563,Dickeya,Dickeya solani,negative
515,OQ722443,Sulfitobacter,Sulfitobacter sp.,negative
516,OQ719603,Vibrio,Vibrio parahaemolyticus,negative
517,OQ703102,Escherichia,Escherichia coli,negative
518,OQ221551,Bacteroides,Bacteroides intestinalis,negative
519,OQ221556,Bacteroides,Bacteroides intestinalis,negative
520,OQ221554,Bacteroides,Bacteroides intestinalis,negative
521,OQ221553,Bacteroides,Bacteroides intestinalis,negative
522,OQ221552,Bacteroides,Bacteroides intestinalis,negative
523,OQ221550,Bacteroides,Bacteroides intestinalis,negative
524,OQ221549,Bacteroides,Bacteroides intestinalis,negative
525,OQ221547,Bacteroides,Bacteroides intestinalis,negative
526,OQ221546,Bacteroides,Bacteroides intestinalis,negative
527,OQ221545,Bacteroides,Bacteroides intestinalis,negative
528,OQ221543,Bacteroides,Bacteroides intestinalis,negative
529,OQ221542,Bacteroides,Bacteroides intestinalis,negative
530,OQ221541,Bacteroides,Bacteroides intestinalis,negative
531,OQ221540,Bacteroides,Bacteroides intestinalis,negative
532,OQ221538,Bacteroides,Bacteroides intestinalis,negative
533,OQ221537,Bacteroides,Bacteroides intestinalis,negative
534,OQ221536,Bacteroides,Bacteroides intestinalis,negative
535,OQ221559,Bacteroides,Bacteroides intestinalis,negative
536,OQ221557,Bacteroides,Bacteroides intestinalis,negative
537,OQ221548,Bacteroides,Bacteroides intestinalis,negative
538,OQ221544,Bacteroides,Bacteroides intestinalis,negative
539,OQ221539,Bacteroides,Bacteroides intestinalis,negative
540,OP924285,Salmonella,Salmonella enterica,positive
541,OP924284,Salmonella,Salmonella enterica,positive
542,OP924283,Salmonella,Salmonella enterica,positive
543,OP924282,Salmonella,Salmonella enterica,positive
544,OP924281,Salmonella,Salmonella enterica,positive
545,OP924280,Salmonella,Salmonella enterica,positive
546,OP867012,Shewanella,Shewanella oneidensis,negative
547,OP795442,Escherichia,Escherichia coli,negative
548,OP185508,Salmonella,Salmonella enterica,positive
549,OP185507,Salmonella,Salmonella enterica,positive
550,LC754405,Thermus,Thermus thermophilus,negative
551,OP991882,Salmonella,Salmonella enterica,positive
552,MZ826764,Klebsiella,Klebsiella pneumoniae,negative
553,ON165415,Klebsiella,Klebsiella pneumoniae,negative
554,OM982647,Escherichia,Escherichia coli,negative
555,OM982646,Escherichia,Escherichia coli,negative
556,MZ622713,Vibrio,Vibrio parahaemolyticus,negative
557,AP011617,Thermus,Thermus thermophilus,negative
558,AP011616,Thermus,Thermus thermophilus,negative
560,OL960030,Acinetobacter,Acinetobacter baumannii,negative
561,OQ687052,Staphylococcus,Staphylococcus aureus,positive
562,OQ625504,Cylindrospermopsis,Cylindrospermopsis raciborskii,positive
563,OQ791282,Shigella,Shigella dysenteriae,negative
564,OM867525,Vibrio,Vibrio rumoiensis,negative
565,NC_079188,Aeromonas,Aeromonas hydrophila,negative
566,NC_079186,Aeromonas,Aeromonas veronii,negative
567,NC_079185,Vibrio,Vibrio parahaemolyticus,negative
568,NC_079184,Escherichia,Escherichia coli,negative
569,NC_079182,Escherichia,Escherichia sp.,negative
570,NC_079181,Escherichia,Escherichia coli,negative
571,NC_079180,Escherichia,Escherichia coli,negative
572,NC_079179,Yersinia,Yersinia pseudotuberculosis,negative
573,NC_079178,Yersinia,Yersinia pseudotuberculosis,negative
574,NC_079177,Yersinia,Yersinia pseudotuberculosis,negative
575,NC_079176,Escherichia,Escherichia coli,negative
576,NC_079175,Escherichia,Escherichia coli,negative
577,OQ676962,Xanthomonas,Xanthomonas sp.,negative
578,OQ658779,Staphylococcus,Staphylococcus aureus,positive
579,OQ473816,Sulfolobus,Sulfolobus beitou,negative
582,CP124942,Enterococcus,Enterococcus faecalis,positive
583,CP124949,Enterococcus,Enterococcus faecalis,positive
584,CP124938,Enterococcus,Enterococcus faecalis,positive
585,CP124959,Enterococcus,Enterococcus faecalis,positive
586,CP124962,Enterococcus,Enterococcus faecalis,positive
587,CP124952,Enterococcus,Enterococcus faecalis,positive
588,CP124927,Enterococcus,Enterococcus faecalis,positive
589,CP124955,Enterococcus,Enterococcus faecalis,positive
590,CP124930,Enterococcus,Enterococcus faecalis,positive
591,CP124941,Enterococcus,Enterococcus faecalis,positive
592,CP124934,Enterococcus,Enterococcus faecalis,positive
593,OQ223306,Shigella,Shigella flexneri,negative
