,Accession,staining,Genome Length (bp),Jumbophage,molGC (%),Molecule,Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),tRNAs
23,AF334111,negative,4268,False,43.861,ss-RNA,3,100.0,0.0,92.7132146204311,0
24,OR204652,negative,40444,False,48.65,DNA,51,1.96078431372549,98.0392156862745,89.9169221639798,0
25,OR204651,negative,39837,False,48.329,DNA,48,100.0,0.0,91.3321786279087,0
26,OR204650,negative,39650,False,49.788,DNA,52,100.0,0.0,91.4779319041614,1
27,OR204649,negative,76884,False,42.757,DNA,121,80.9917355371901,19.0082644628099,95.3059154050258,0
28,OR413347,positive,110344,False,39.504,DNA,157,32.484076433121,67.515923566879,89.0342927571957,15
29,OR413345,positive,108554,False,39.84,DNA,154,29.2207792207792,70.7792207792208,87.5978775540284,21
30,OR413344,positive,115218,False,40.127,DNA,162,30.8641975308642,69.1358024691358,86.6739571941884,27
31,OR413342,positive,109346,False,39.552,DNA,153,31.3725490196078,68.6274509803922,88.5775428456459,16
32,MN923124,negative,49692,False,48.996,DNA,82,60.9756097560976,39.0243902439024,94.1922241004588,0
33,OQ451773,negative,41886,False,39.285,DNA,49,100.0,0.0,93.0812204555221,0
34,ON212266,negative,153282,False,49.158,DNA,189,65.6084656084656,34.3915343915344,92.323299539411,4
35,MZ892903,negative,170727,False,35.43,DNA,274,15.6934306569343,84.3065693430657,93.4784773351608,9
36,OR290970,negative,59343,False,56.106,DNA,76,42.1052631578947,57.8947368421053,95.1771902330519,0
37,ON470617,negative,99607,False,47.338,DNA,132,50.7575757575758,49.2424242424242,84.6777836899013,3
38,OQ745667,negative,34257,False,40.622,DNA,56,39.2857142857143,60.7142857142857,89.3335668622471,0
39,AY129330,positive,59472,False,61.31,DNA,110,90.0,10.0,95.4600484261501,0
40,EU826469,positive,154017,False,64.829,DNA,223,98.2062780269058,1.79372197309417,92.6443184843232,31
41,AY129332,positive,50913,False,64.184,DNA,83,37.3493975903614,62.6506024096386,90.9158761023707,3
42,AY129336,positive,56275,False,60.901,DNA,110,89.0909090909091,10.9090909090909,95.0777432252332,0
43,KY385384,positive,56335,False,61.26,DNA,98,95.9183673469388,4.08163265306122,94.0072778911866,0
44,KY385381,positive,78536,False,56.889,DNA,130,60.7692307692308,39.2307692307692,87.6617092798207,23
45,JX262225,positive,29516,False,53.998,DNA,42,50.0,50.0,88.1420246645887,0
46,JX262224,positive,29516,False,54.005,DNA,42,50.0,50.0,87.8269413199621,0
47,JX262223,positive,29348,False,54.365,DNA,41,51.219512195122,48.780487804878,86.4692653673163,0
48,JX262222,positive,29612,False,54.069,DNA,43,51.1627906976744,48.8372093023256,88.1095501823585,0
49,JX262221,positive,29505,False,53.832,DNA,41,51.219512195122,48.780487804878,86.1209964412811,0
50,JX262220,positive,29506,False,53.762,DNA,40,52.5,47.5,86.2502541855894,0
51,JX262219,positive,29202,False,54.174,DNA,40,52.5,47.5,85.7098828847339,0
52,JX262218,positive,29371,False,53.982,DNA,42,50.0,50.0,87.9541043886827,0
53,JX262217,positive,29574,False,54.135,DNA,41,53.6585365853659,46.3414634146341,86.7214445120714,0
54,JX262216,positive,29729,False,54.082,DNA,43,48.8372093023256,51.1627906976744,88.4388980456793,0
55,JX262215,positive,29214,False,54.121,DNA,41,51.219512195122,48.780487804878,88.1289792565209,0
56,DQ398052,positive,78296,False,56.852,DNA,127,59.8425196850394,40.1574803149606,87.0746909165219,23
57,EU203571,positive,53746,False,67.447,DNA,81,81.4814814814815,18.5185185185185,93.7744204219849,0
58,EU826471,positive,155372,False,64.72,DNA,222,98.1981981981982,1.8018018018018,91.1940375357207,34
59,EU826470,positive,49487,False,63.843,DNA,81,48.1481481481481,51.8518518518518,90.157010932164,0
60,EU826468,positive,154906,False,64.777,DNA,223,98.2062780269058,1.79372197309417,92.5948639820278,31
61,EU826467,positive,153894,False,64.743,DNA,215,98.1395348837209,1.86046511627907,90.4148309875629,34
62,EU826466,positive,164602,False,65.436,DNA,238,97.8991596638655,2.10084033613445,93.6246218150448,35
63,EU816591,positive,75811,False,62.917,DNA,142,74.6478873239437,25.3521126760563,91.6621598448774,2
64,EU816589,positive,68090,False,67.566,DNA,95,54.7368421052632,45.2631578947368,93.7802907915994,0
65,EU816588,positive,76312,False,62.841,DNA,137,77.3722627737226,22.6277372262774,91.1311458224132,2
66,EU770222,positive,70110,False,56.286,DNA,92,98.9130434782609,1.08695652173913,90.0641848523748,0
67,EU770221,positive,69904,False,68.342,DNA,94,50.0,50.0,94.5954451819638,0
68,EU744252,positive,51621,False,63.387,DNA,89,42.6966292134831,57.3033707865169,91.4860231301215,0
69,EU744251,positive,50968,False,63.713,DNA,90,40.0,60.0,91.4985873489248,0
70,EU744250,positive,52892,False,63.263,DNA,85,36.4705882352941,63.5294117647059,89.7810632987975,1
71,EU744249,positive,51478,False,63.425,DNA,90,41.1111111111111,58.8888888888889,90.900967403551,0
72,EU744248,positive,53572,False,63.572,DNA,87,44.8275862068966,55.1724137931034,91.5366236093482,0
73,EF536069,positive,58692,False,61.739,DNA,105,94.2857142857143,5.71428571428571,94.1729707626252,0
74,DQ398053,positive,153766,False,64.735,DNA,218,98.1651376146789,1.8348623853211,90.8907040568136,34
75,DQ398050,positive,56692,False,61.418,DNA,99,95.959595959596,4.04040404040404,93.9285966273901,0
76,DQ398048,positive,67188,False,68.963,DNA,89,55.0561797752809,44.9438202247191,94.7445972495088,0
77,DQ398043,positive,52047,False,62.882,DNA,93,34.4086021505376,65.5913978494624,91.9764827943974,3
78,DQ398049,positive,69059,False,67.335,DNA,97,57.7319587628866,42.2680412371134,92.92923442274,0
79,DQ398046,positive,68427,False,66.51,DNA,98,47.9591836734694,52.0408163265306,92.9238458503222,0
80,DQ398045,positive,56852,False,61.53,DNA,95,94.7368421052632,5.26315789473684,93.8911559839584,0
81,DQ398044,positive,70654,False,69.106,DNA,96,52.0833333333333,47.9166666666667,95.1411101989979,0
82,DQ398041,positive,74483,False,62.937,DNA,134,78.3582089552239,21.6417910447761,91.2946578413866,2
83,AY500153,positive,52250,False,63.246,DNA,85,43.5294117647059,56.4705882352941,91.3435406698565,0
84,AY500152,positive,51277,False,63.699,DNA,87,41.3793103448276,58.6206896551724,92.2694385396962,0
85,AF547430,positive,68999,False,66.502,DNA,98,47.9591836734694,52.0408163265306,92.9796084001217,0
86,AY129338,positive,110865,False,61.375,DNA,225,67.5555555555556,32.4444444444444,92.0561042709602,1
87,AY129337,positive,156102,False,64.77,DNA,229,98.2532751091703,1.74672489082969,91.3012004971109,33
88,AY129335,positive,69777,False,65.384,DNA,118,47.4576271186441,52.5423728813559,90.2618341287244,0
89,AY129334,positive,67480,False,68.957,DNA,89,53.9325842696629,46.0674157303371,94.6458209839953,0
90,AY129331,positive,75931,False,63.115,DNA,134,76.865671641791,23.134328358209,91.0392329878442,2
91,OR045358,negative,46538,False,38.051,DNA,87,16.0919540229885,83.9080459770115,90.3068460183076,0
92,OR045357,negative,46523,False,38.052,DNA,81,82.7160493827161,17.2839506172839,90.026438535778,0
93,OR045356,negative,45076,False,38.045,DNA,74,10.8108108108108,89.1891891891892,60.1717100008874,0
94,OR045355,negative,46529,False,38.049,DNA,81,81.4814814814815,18.5185185185185,88.8800533000924,0
95,OR296439,negative,74437,False,37.211,DNA,117,62.3931623931624,37.6068376068376,91.1522495533135,0
96,OR296438,negative,33770,False,45.845,DNA,46,0.0,100.0,90.9594314480308,0
97,OR296437,negative,44391,False,44.635,DNA,56,1.78571428571429,98.2142857142857,91.2617422450497,0
98,OR243293,negative,58476,False,37.036,DNA,85,63.5294117647059,36.4705882352941,90.7192694438744,0
99,OR062950,positive,140580,False,30.356,DNA,214,26.6355140186916,73.3644859813084,89.8691136719306,4
100,OR062949,positive,143709,False,30.409,DNA,223,27.3542600896861,72.6457399103139,90.1043080113284,4
101,OR062948,positive,17209,False,29.281,DNA,19,42.1052631578947,57.8947368421053,94.3285490150503,0
102,OR062947,negative,170844,False,37.547,DNA,266,84.2105263157895,15.7894736842105,93.7767788157618,2
103,OR062946,negative,167023,False,35.567,DNA,262,16.030534351145,83.969465648855,94.7588056734701,10
104,OR062945,negative,169543,False,37.705,DNA,272,84.5588235294118,15.4411764705882,94.4409382870422,2
105,OR062944,negative,166904,False,35.391,DNA,267,84.6441947565543,15.3558052434457,94.8659109428174,11
106,OR062943,negative,138401,False,43.586,DNA,212,56.1320754716981,43.8679245283019,89.8057094963187,4
107,OR437326,negative,148445,False,39.089,DNA,269,49.4423791821561,50.5576208178439,92.3048940685102,10
108,OM782678,negative,246348,True,42.601,DNA,385,83.8961038961039,16.1038961038961,93.2623768002988,27
109,ON470615,negative,95305,False,47.575,DNA,129,40.3100775193798,59.6899224806201,78.6097266670164,3
110,MT360680,negative,43925,False,54.035,DNA,56,96.4285714285714,3.57142857142857,94.0193511667615,0
111,MN518893,negative,39255,False,49.899,DNA,45,100.0,0.0,86.7558272831486,0
112,MN518894,negative,39197,False,50.784,DNA,43,97.6744186046512,2.32558139534884,86.3254840931704,0
113,MT360682,negative,49833,False,45.313,DNA,64,85.9375,14.0625,78.351694660165,0
114,MN715150,negative,39277,False,50.378,DNA,45,97.7777777777778,2.22222222222222,86.3482445196935,0
115,MN218775,negative,39253,False,49.884,DNA,39,100.0,0.0,86.6532494331643,0
116,MN164484,negative,46054,False,43.558,DNA,72,81.9444444444444,18.0555555555556,91.1972901376645,1
117,OQ357823,negative,43449,False,43.943,DNA,69,78.2608695652174,21.7391304347826,90.867453796405,1
118,MT360681,negative,53145,False,44.512,DNA,74,82.4324324324324,17.5675675675676,83.0426192492238,0
119,MN545971,negative,45806,False,44.509,DNA,62,85.4838709677419,14.5161290322581,82.1093306553727,0
120,OR067838,negative,149856,False,39.059,DNA,286,49.6503496503497,50.3496503496504,91.4818225496477,10
121,OR067837,positive,115522,False,39.9,DNA,179,26.2569832402235,73.7430167597765,83.040459825834,28
122,OR067836,negative,40461,False,52.873,DNA,47,100.0,0.0,92.4594053533032,0
123,OR067835,positive,43099,False,51.962,DNA,66,100.0,0.0,95.8908559363326,0
124,OR067834,negative,71272,False,43.272,DNA,85,23.5294117647059,76.4705882352941,92.5202042877989,1
125,OR067833,negative,67890,False,49.791,DNA,133,56.390977443609,43.609022556391,76.3985859478568,0
126,OR083247,negative,114544,False,39.228,DNA,171,32.7485380116959,67.2514619883041,87.0460259812823,20
127,OR367448,negative,42032,False,58.168,DNA,52,100.0,0.0,89.9457556147697,0
128,OR125561,negative,85754,False,43.381,DNA,120,76.6666666666667,23.3333333333333,90.7549502064044,26
129,OQ985170,positive,21643,False,35.582,DNA,36,47.2222222222222,52.7777777777778,91.1518735849928,0
130,OQ985169,positive,21643,False,35.582,DNA,38,44.7368421052632,55.2631578947368,92.2746384512314,0
131,OQ985168,positive,22005,False,35.446,DNA,38,44.7368421052632,55.2631578947368,92.719836400818,0
132,OQ985167,positive,21570,False,35.508,DNA,38,44.7368421052632,55.2631578947368,92.2670375521558,0
133,OQ985166,positive,22045,False,35.836,DNA,38,44.7368421052632,55.2631578947368,92.4563393059651,0
134,OQ985165,positive,22138,False,35.834,DNA,38,44.7368421052632,55.2631578947368,92.5015809919595,0
135,OQ985164,positive,21571,False,35.78,DNA,38,44.7368421052632,55.2631578947368,92.2627601872885,0
136,OQ985163,positive,22139,False,35.833,DNA,38,44.7368421052632,55.2631578947368,92.8226207145761,0
137,OQ985162,positive,21578,False,35.634,DNA,38,44.7368421052632,55.2631578947368,91.6210955602929,0
138,OQ985161,positive,21644,False,35.585,DNA,38,44.7368421052632,55.2631578947368,92.6030308630567,0
139,OQ938542,negative,72781,False,42.735,DNA,87,77.0114942528736,22.9885057471264,92.9129855319383,1
140,OQ938541,negative,75413,False,42.148,DNA,120,20.0,80.0,89.009852412714,0
141,OQ938574,negative,46410,False,55.667,DNA,58,50.0,50.0,90.6571859513036,1
142,OQ870568,negative,40562,False,49.569,DNA,49,0.0,100.0,83.8198313692619,0
143,OQ870567,negative,40594,False,49.761,DNA,52,0.0,100.0,84.8253436468444,0
144,OQ870566,negative,78665,False,41.934,DNA,122,81.1475409836066,18.8524590163934,87.8103349647238,1
145,OQ850971,negative,13056,False,46.921,DNA,27,29.6296296296296,70.3703703703704,88.1433823529412,0
146,OQ850970,negative,35020,False,51.042,DNA,60,91.6666666666667,8.33333333333333,90.4026270702456,0
147,OQ504984,negative,176354,False,41.661,DNA,230,3.91304347826087,96.0869565217391,93.7132131961849,7
148,OQ504983,negative,175541,False,41.455,DNA,232,96.551724137931,3.44827586206897,94.8171652206607,7
149,OQ504982,negative,177122,False,41.872,DNA,235,4.25531914893617,95.7446808510638,95.0068314495094,7
150,OQ504981,negative,172946,False,40.943,DNA,217,97.6958525345622,2.30414746543779,95.3233957420235,6
151,OQ504980,negative,178866,False,42.526,DNA,212,97.1698113207547,2.83018867924528,95.6654702402916,6
152,OQ504979,negative,172888,False,40.674,DNA,214,98.1308411214953,1.86915887850467,95.4016473092407,7
153,OQ927978,positive,162022,False,36.996,DNA,262,18.3206106870229,81.6793893129771,94.5618496253595,4
154,ON531988,negative,49691,False,39.331,DNA,74,75.6756756756757,24.3243243243243,90.9883077418446,0
155,ON531987,negative,41815,False,39.106,DNA,63,100.0,0.0,81.1216070787995,0
156,ON528933,positive,43398,False,67.547,DNA,64,1.5625,98.4375,89.4580395409927,0
157,KY608967,negative,168188,False,35.373,DNA,266,84.2105263157895,15.7894736842105,94.3503698242443,11
158,OQ508958,negative,65166,False,39.711,DNA,81,37.037037037037,62.962962962963,92.0633459165823,1
159,OQ508957,negative,141644,False,36.71,DNA,192,57.8125,42.1875,93.0657140436588,11
160,OQ508956,negative,141431,False,36.669,DNA,197,57.8680203045685,42.1319796954315,93.9999010118008,11
161,OR228483,negative,39037,False,49.922,DNA,50,0.0,100.0,91.5592899044496,0
162,OR122689,positive,159273,False,36.884,DNA,254,18.503937007874,81.496062992126,94.1666195777062,3
163,OR122688,positive,158291,False,44.873,DNA,198,66.1616161616162,33.8383838383838,91.7045188924197,6
164,OR122687,positive,114722,False,40.265,DNA,161,68.944099378882,31.055900621118,87.7869981346211,28
165,OR195094,positive,47655,False,67.231,DNA,78,97.4358974358974,2.56410256410256,95.1148882593642,0
166,MN158218,negative,53042,False,45.788,DNA,73,45.2054794520548,54.7945205479452,91.680177972173,0
167,MN158217,negative,51031,False,43.646,DNA,77,74.025974025974,25.974025974026,89.3456918343752,0
168,MN158216,negative,52716,False,44.499,DNA,84,71.4285714285714,28.5714285714286,90.5133166401093,0
169,MN158215,negative,51448,False,43.442,DNA,78,25.6410256410256,74.3589743589744,88.903358731146,0
170,MN158214,negative,50853,False,45.734,DNA,81,27.1604938271605,72.8395061728395,90.6023243466462,0
171,MN158213,negative,44021,False,54.406,DNA,56,55.3571428571429,44.6428571428571,91.57220417528,0
172,MN158212,negative,44592,False,44.358,DNA,67,19.4029850746269,80.5970149253731,85.8113562970936,1
173,MN158211,negative,51031,False,43.648,DNA,77,74.025974025974,25.974025974026,89.3456918343752,0
174,MN158210,negative,52716,False,44.497,DNA,84,71.4285714285714,28.5714285714286,90.5133166401093,0
175,MN158209,negative,51031,False,43.644,DNA,77,74.025974025974,25.974025974026,89.3456918343752,0
176,MN158208,negative,46736,False,44.15,DNA,74,78.3783783783784,21.6216216216216,89.7894556658679,1
177,MN158207,negative,46884,False,44.431,DNA,71,73.2394366197183,26.7605633802817,89.2927224639536,1
178,MN158206,negative,46880,False,44.424,DNA,71,73.2394366197183,26.7605633802817,89.3003412969283,1
179,OR145793,negative,60450,False,45.676,DNA,109,56.8807339449541,43.1192660550459,92.1786600496278,0
180,OR145792,negative,170558,False,40.864,DNA,286,85.3146853146853,14.6853146853147,95.1142719778609,7
181,OQ361773,negative,166625,False,41.889,DNA,261,15.7088122605364,84.2911877394636,94.5608402100525,3
182,ON157416,negative,178510,False,44.79,DNA,275,45.4545454545455,54.5454545454545,95.4187440479525,1
183,OL828291,negative,174428,False,39.718,DNA,290,15.1724137931034,84.8275862068966,95.23069690646,18
184,OL828290,negative,172697,False,39.792,DNA,288,13.8888888888889,86.1111111111111,95.2871213744304,19
185,OL849997,negative,172607,False,39.843,DNA,291,15.1202749140893,84.8797250859106,94.3177275545024,14
186,ON968456,negative,46546,False,43.716,DNA,67,100.0,0.0,93.2582821295063,2
187,ON968455,negative,37173,False,63.713,DNA,54,68.5185185185185,31.4814814814815,91.0096037446534,0
188,ON968454,negative,37962,False,61.061,DNA,70,57.1428571428571,42.8571428571429,92.3976608187134,0
189,ON968453,negative,51031,False,58.651,DNA,97,39.1752577319588,60.8247422680412,90.229468362368,1
190,ON968452,negative,72037,False,62.55,DNA,104,88.4615384615385,11.5384615384615,94.9803573163791,0
191,MZ398245,negative,41384,False,52.921,DNA,82,60.9756097560976,39.0243902439024,103.590759713899,0
192,MZ573780,positive,147811,False,31.248,DNA,209,69.8564593301435,30.1435406698565,91.5926419549289,3
193,OQ745668,negative,43873,False,43.501,DNA,50,0.0,100.0,90.3220659631208,0
194,OQ627802,positive,39536,False,36.238,DNA,59,100.0,0.0,91.9288749494132,0
195,OQ627808,positive,35926,False,37.299,DNA,52,7.69230769230769,92.3076923076923,89.2751767522129,0
196,OQ627807,positive,36440,False,35.793,DNA,58,93.1034482758621,6.89655172413793,93.8693743139407,0
197,OQ627806,positive,31477,False,36.363,DNA,62,88.7096774193548,11.2903225806452,85.9484703116561,0
198,OQ627805,positive,39321,False,36.411,DNA,68,10.2941176470588,89.7058823529412,92.0042725261311,0
199,OQ627804,positive,39435,False,39.313,DNA,55,87.2727272727273,12.7272727272727,87.6454925827311,0
200,OQ627803,positive,35411,False,37.449,DNA,52,92.3076923076923,7.69230769230769,86.185083731044,0
201,MK630230,negative,110618,False,44.917,DNA,155,69.6774193548387,30.3225806451613,86.7010793903343,25
202,OK896991,positive,79387,False,32.349,DNA,101,71.2871287128713,28.7128712871287,87.5319636716339,0
203,OQ955832,negative,57756,False,43.578,DNA,97,54.639175257732,45.360824742268,91.928111365053,0
204,OR231920,negative,167255,False,39.597,DNA,274,84.3065693430657,15.6934306569343,94.1113868045798,16
205,OR231919,negative,112468,False,45.405,DNA,150,76.6666666666667,23.3333333333333,87.7138386029804,24
206,OR231918,negative,167127,False,39.612,DNA,275,85.0909090909091,14.9090909090909,94.0470420698032,16
207,OR231917,negative,174824,False,40.652,DNA,298,14.7651006711409,85.2348993288591,94.9783782547019,7
208,OR231916,negative,110667,False,45.34,DNA,149,75.8389261744966,24.1610738255034,82.2774630196897,24
209,OR231915,negative,167066,False,39.581,DNA,275,84.3636363636364,15.6363636363636,93.6091125662912,16
210,OQ076693,negative,170429,False,37.593,DNA,276,14.8550724637681,85.1449275362319,94.4921345545652,2
211,OQ860987,positive,38461,False,50.888,DNA,47,0.0,100.0,89.1474480642729,0
212,OQ860986,positive,38461,False,50.896,DNA,47,100.0,0.0,90.3642650997114,0
213,OQ860984,positive,38664,False,51.079,DNA,51,100.0,0.0,91.0459342023588,0
214,OQ291079,positive,43080,False,49.937,DNA,64,70.3125,29.6875,92.5974930362117,0
215,OQ291078,positive,43046,False,49.8,DNA,63,71.4285714285714,28.5714285714286,92.3779212935,0
216,OQ291077,positive,43080,False,49.935,DNA,64,70.3125,29.6875,92.5974930362117,0
217,OQ291076,positive,43081,False,49.952,DNA,64,70.3125,29.6875,92.5953436549755,0
218,OQ291075,positive,41413,False,50.086,DNA,60,70.0,30.0,92.3188370801439,0
219,OQ291074,positive,43066,False,49.912,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
220,OQ291073,positive,43066,False,49.914,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
221,OQ291072,positive,43066,False,49.865,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
222,OQ291071,positive,43066,False,49.914,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
223,OQ291070,positive,43066,False,49.912,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
224,OQ291069,positive,43066,False,49.912,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
225,OQ291068,positive,43066,False,49.912,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
226,OQ291067,positive,43559,False,49.863,DNA,65,70.7692307692308,29.2307692307692,92.8533712895154,0
227,OQ291066,positive,43066,False,49.912,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
228,OQ291065,positive,43066,False,49.912,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
229,OQ291064,positive,43057,False,49.904,DNA,64,71.875,28.125,92.7654039993497,0
230,OQ291063,positive,43066,False,49.891,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
231,OQ291062,positive,43066,False,49.912,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
232,OQ291061,positive,108179,False,39.38,DNA,150,29.3333333333333,70.6666666666667,86.440991319942,13
233,OQ291060,positive,109291,False,39.268,DNA,154,30.5194805194805,69.4805194805195,87.6476562571483,22
234,OQ291059,positive,106332,False,39.157,DNA,139,31.6546762589928,68.3453237410072,86.149983071888,14
235,OQ291058,positive,106664,False,39.08,DNA,150,30.6666666666667,69.3333333333333,87.238430960774,22
236,OQ291057,positive,106641,False,39.084,DNA,150,30.6666666666667,69.3333333333333,87.23755403644,22
237,OQ291056,positive,106672,False,39.08,DNA,150,30.6666666666667,69.3333333333333,87.2122018899055,22
238,OQ291055,positive,44271,False,47.848,DNA,51,100.0,0.0,91.8885952429356,0
239,OQ291054,positive,44269,False,47.851,DNA,51,100.0,0.0,91.8859698660462,0
240,OQ291053,positive,41413,False,50.091,DNA,60,70.0,30.0,92.3188370801439,0
241,OQ291052,positive,43081,False,49.957,DNA,64,70.3125,29.6875,92.5953436549755,0
242,OQ291051,positive,43066,False,49.914,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
243,OQ291049,positive,35364,False,49.859,DNA,57,71.9298245614035,28.0701754385965,89.8540889039701,0
244,OQ291048,positive,43066,False,49.914,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
245,OQ291047,positive,43066,False,49.916,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
246,OQ291046,positive,43089,False,49.932,DNA,64,70.3125,29.6875,92.5990391979391,0
247,OQ291045,positive,106672,False,39.08,DNA,150,30.6666666666667,69.3333333333333,87.2122018899055,22
248,OQ291044,positive,41423,False,50.088,DNA,61,68.8524590163934,31.1475409836066,92.3979431716679,0
249,OQ291043,positive,43079,False,49.936,DNA,64,70.3125,29.6875,92.5996425172358,0
250,OQ291042,positive,44293,False,47.856,DNA,51,100.0,0.0,91.5991240150814,0
251,OQ291041,positive,43039,False,49.822,DNA,64,71.875,28.125,92.7623783080462,0
252,OQ291040,positive,43065,False,49.906,DNA,65,70.7692307692308,29.2307692307692,92.9850226401951,0
253,OQ291039,positive,43080,False,49.935,DNA,64,70.3125,29.6875,92.5974930362117,0
254,OQ291038,positive,43089,False,49.934,DNA,64,70.3125,29.6875,92.5781521966163,0
255,OQ291037,positive,42735,False,49.917,DNA,66,71.2121212121212,28.7878787878788,92.6219726219726,0
256,OQ291036,positive,115013,False,39.117,DNA,149,31.5436241610738,68.4563758389262,84.3217723213898,16
257,OQ291035,positive,117738,False,39.516,DNA,167,32.3353293413174,67.6646706586826,84.5725254378366,13
258,OQ291034,positive,119011,False,39.351,DNA,170,32.3529411764706,67.6470588235294,86.3600843619497,22
259,OQ291033,positive,114846,False,39.305,DNA,157,31.2101910828025,68.7898089171974,84.7682984170106,14
260,OQ291032,positive,116157,False,39.225,DNA,162,34.5679012345679,65.4320987654321,85.8019749132639,14
261,OQ291031,positive,119985,False,39.205,DNA,172,33.1395348837209,66.8604651162791,85.1639788306872,21
262,OQ291030,positive,116043,False,39.223,DNA,168,32.7380952380952,67.2619047619048,86.3455787940677,22
263,OQ291029,positive,117564,False,39.239,DNA,169,33.7278106508876,66.2721893491124,85.859616889524,22
264,OQ291028,positive,42795,False,49.87,DNA,67,70.1492537313433,29.8507462686567,92.7795303189625,0
265,OQ291027,positive,41541,False,50.085,DNA,60,70.0,30.0,91.7599480031776,0
266,OQ291026,positive,42735,False,49.851,DNA,66,69.6969696969697,30.3030303030303,92.5517725517725,0
267,OQ291025,positive,44304,False,47.847,DNA,50,100.0,0.0,91.4138678223185,0
268,OQ291024,positive,42734,False,49.916,DNA,66,71.2121212121212,28.7878787878788,92.596059343848,0
269,OQ291023,positive,44834,False,54.816,DNA,60,58.3333333333333,41.6666666666667,92.113128429317,0
270,OQ291022,positive,43087,False,49.897,DNA,64,70.3125,29.6875,92.6033374335646,0
271,OQ291021,positive,43039,False,49.82,DNA,64,71.875,28.125,92.8529937963243,0
272,OQ291020,positive,43066,False,49.914,DNA,65,70.7692307692308,29.2307692307692,92.9828635118191,0
273,OP131588,negative,37472,False,67.522,DNA,53,88.6792452830189,11.3207547169811,96.2078351836038,0
274,OP131590,negative,39879,False,65.162,DNA,55,90.9090909090909,9.09090909090909,92.0634920634921,0
275,OP131589,negative,39584,False,66.09,DNA,50,68.0,32.0,91.9992926434923,0
276,OP131587,negative,40526,False,64.963,DNA,54,90.7407407407407,9.25925925925926,90.593692937867,0
277,ON548431,negative,44379,False,54.391,DNA,57,54.3859649122807,45.6140350877193,91.9421347934834,0
