Accession,staining,Genome Length (bp),Jumbophage,molGC (%),Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),tRNAs,Molecule_DNA,Molecule_RNA,Molecule_ss-DNA,Molecule_ss-RNA
MN158209,negative,51031,False,43.644,77,74.025974025974,25.974025974026,89.3456918343752,0,True,False,False,False
MN158208,negative,46736,False,44.15,74,78.3783783783784,21.6216216216216,89.7894556658679,1,True,False,False,False
MN158207,negative,46884,False,44.431,71,73.2394366197183,26.7605633802817,89.2927224639536,1,True,False,False,False
MN158206,negative,46880,False,44.424,71,73.2394366197183,26.7605633802817,89.3003412969283,1,True,False,False,False
OR145793,negative,60450,False,45.676,109,56.8807339449541,43.1192660550459,92.1786600496278,0,True,False,False,False
OR145792,negative,170558,False,40.864,286,85.3146853146853,14.6853146853147,95.1142719778609,7,True,False,False,False
OQ361773,negative,166625,False,41.889,261,15.7088122605364,84.2911877394636,94.5608402100525,3,True,False,False,False
ON157416,negative,178510,False,44.79,275,45.4545454545455,54.5454545454545,95.4187440479525,1,True,False,False,False
OL828291,negative,174428,False,39.718,290,15.1724137931034,84.8275862068966,95.23069690646,18,True,False,False,False
OL828290,negative,172697,False,39.792,288,13.8888888888889,86.1111111111111,95.2871213744304,19,True,False,False,False
OL849997,negative,172607,False,39.843,291,15.1202749140893,84.8797250859106,94.3177275545024,14,True,False,False,False
ON968456,negative,46546,False,43.716,67,100.0,0.0,93.2582821295063,2,True,False,False,False
ON968455,negative,37173,False,63.713,54,68.5185185185185,31.4814814814815,91.0096037446534,0,True,False,False,False
ON968454,negative,37962,False,61.061,70,57.1428571428571,42.8571428571429,92.3976608187134,0,True,False,False,False
ON968453,negative,51031,False,58.651,97,39.1752577319588,60.8247422680412,90.229468362368,1,True,False,False,False
ON968452,negative,72037,False,62.55,104,88.4615384615385,11.5384615384615,94.9803573163791,0,True,False,False,False
MZ398245,negative,41384,False,52.921,82,60.9756097560976,39.0243902439024,103.590759713899,0,True,False,False,False
MZ573780,positive,147811,False,31.248,209,69.8564593301435,30.1435406698565,91.5926419549289,3,True,False,False,False
OQ745668,negative,43873,False,43.501,50,0.0,100.0,90.3220659631208,0,True,False,False,False
OQ627802,positive,39536,False,36.238,59,100.0,0.0,91.9288749494132,0,True,False,False,False
OQ627808,positive,35926,False,37.299,52,7.69230769230769,92.3076923076923,89.2751767522129,0,True,False,False,False
OQ627807,positive,36440,False,35.793,58,93.1034482758621,6.89655172413793,93.8693743139407,0,True,False,False,False
OQ627806,positive,31477,False,36.363,62,88.7096774193548,11.2903225806452,85.9484703116561,0,True,False,False,False
OQ627805,positive,39321,False,36.411,68,10.2941176470588,89.7058823529412,92.0042725261311,0,True,False,False,False
OQ627804,positive,39435,False,39.313,55,87.2727272727273,12.7272727272727,87.6454925827311,0,True,False,False,False
OQ627803,positive,35411,False,37.449,52,92.3076923076923,7.69230769230769,86.185083731044,0,True,False,False,False
MK630230,negative,110618,False,44.917,155,69.6774193548387,30.3225806451613,86.7010793903343,25,True,False,False,False
OK896991,positive,79387,False,32.349,101,71.2871287128713,28.7128712871287,87.5319636716339,0,True,False,False,False
OQ955832,negative,57756,False,43.578,97,54.639175257732,45.360824742268,91.928111365053,0,True,False,False,False
OR231920,negative,167255,False,39.597,274,84.3065693430657,15.6934306569343,94.1113868045798,16,True,False,False,False
OR231919,negative,112468,False,45.405,150,76.6666666666667,23.3333333333333,87.7138386029804,24,True,False,False,False
OR231918,negative,167127,False,39.612,275,85.0909090909091,14.9090909090909,94.0470420698032,16,True,False,False,False
OR231917,negative,174824,False,40.652,298,14.7651006711409,85.2348993288591,94.9783782547019,7,True,False,False,False
OR231916,negative,110667,False,45.34,149,75.8389261744966,24.1610738255034,82.2774630196897,24,True,False,False,False
OR231915,negative,167066,False,39.581,275,84.3636363636364,15.6363636363636,93.6091125662912,16,True,False,False,False
OQ076693,negative,170429,False,37.593,276,14.8550724637681,85.1449275362319,94.4921345545652,2,True,False,False,False
OQ860987,positive,38461,False,50.888,47,0.0,100.0,89.1474480642729,0,True,False,False,False
OQ860986,positive,38461,False,50.896,47,100.0,0.0,90.3642650997114,0,True,False,False,False
OQ860984,positive,38664,False,51.079,51,100.0,0.0,91.0459342023588,0,True,False,False,False
OQ291079,positive,43080,False,49.937,64,70.3125,29.6875,92.5974930362117,0,True,False,False,False
OQ291078,positive,43046,False,49.8,63,71.4285714285714,28.5714285714286,92.3779212935,0,True,False,False,False
OQ291077,positive,43080,False,49.935,64,70.3125,29.6875,92.5974930362117,0,True,False,False,False
OQ291076,positive,43081,False,49.952,64,70.3125,29.6875,92.5953436549755,0,True,False,False,False
OQ291075,positive,41413,False,50.086,60,70.0,30.0,92.3188370801439,0,True,False,False,False
OQ291074,positive,43066,False,49.912,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291073,positive,43066,False,49.914,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291072,positive,43066,False,49.865,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291071,positive,43066,False,49.914,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291070,positive,43066,False,49.912,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291069,positive,43066,False,49.912,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291068,positive,43066,False,49.912,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291067,positive,43559,False,49.863,65,70.7692307692308,29.2307692307692,92.8533712895154,0,True,False,False,False
OQ291066,positive,43066,False,49.912,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291065,positive,43066,False,49.912,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291064,positive,43057,False,49.904,64,71.875,28.125,92.7654039993497,0,True,False,False,False
OQ291063,positive,43066,False,49.891,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291062,positive,43066,False,49.912,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291061,positive,108179,False,39.38,150,29.3333333333333,70.6666666666667,86.440991319942,13,True,False,False,False
OQ291060,positive,109291,False,39.268,154,30.5194805194805,69.4805194805195,87.6476562571483,22,True,False,False,False
OQ291059,positive,106332,False,39.157,139,31.6546762589928,68.3453237410072,86.149983071888,14,True,False,False,False
OQ291058,positive,106664,False,39.08,150,30.6666666666667,69.3333333333333,87.238430960774,22,True,False,False,False
OQ291057,positive,106641,False,39.084,150,30.6666666666667,69.3333333333333,87.23755403644,22,True,False,False,False
OQ291056,positive,106672,False,39.08,150,30.6666666666667,69.3333333333333,87.2122018899055,22,True,False,False,False
OQ291055,positive,44271,False,47.848,51,100.0,0.0,91.8885952429356,0,True,False,False,False
OQ291054,positive,44269,False,47.851,51,100.0,0.0,91.8859698660462,0,True,False,False,False
OQ291053,positive,41413,False,50.091,60,70.0,30.0,92.3188370801439,0,True,False,False,False
OQ291052,positive,43081,False,49.957,64,70.3125,29.6875,92.5953436549755,0,True,False,False,False
OQ291051,positive,43066,False,49.914,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291049,positive,35364,False,49.859,57,71.9298245614035,28.0701754385965,89.8540889039701,0,True,False,False,False
OQ291048,positive,43066,False,49.914,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291047,positive,43066,False,49.916,65,70.7692307692308,29.2307692307692,92.9828635118191,0,True,False,False,False
OQ291046,positive,43089,False,49.932,64,70.3125,29.6875,92.5990391979391,0,True,False,False,False
OQ291045,positive,106672,False,39.08,150,30.6666666666667,69.3333333333333,87.2122018899055,22,True,False,False,False
OQ291044,positive,41423,False,50.088,61,68.8524590163934,31.1475409836066,92.3979431716679,0,True,False,False,False
OQ291043,positive,43079,False,49.936,64,70.3125,29.6875,92.5996425172358,0,True,False,False,False
OQ291042,positive,44293,False,47.856,51,100.0,0.0,91.5991240150814,0,True,False,False,False
OQ291041,positive,43039,False,49.822,64,71.875,28.125,92.7623783080462,0,True,False,False,False
OQ291040,positive,43065,False,49.906,65,70.7692307692308,29.2307692307692,92.9850226401951,0,True,False,False,False
OQ291039,positive,43080,False,49.935,64,70.3125,29.6875,92.5974930362117,0,True,False,False,False
OQ291038,positive,43089,False,49.934,64,70.3125,29.6875,92.5781521966163,0,True,False,False,False
OQ291037,positive,42735,False,49.917,66,71.2121212121212,28.7878787878788,92.6219726219726,0,True,False,False,False
OQ291036,positive,115013,False,39.117,149,31.5436241610738,68.4563758389262,84.3217723213898,16,True,False,False,False
OQ291035,positive,117738,False,39.516,167,32.3353293413174,67.6646706586826,84.5725254378366,13,True,False,False,False
OQ291034,positive,119011,False,39.351,170,32.3529411764706,67.6470588235294,86.3600843619497,22,True,False,False,False
OQ291033,positive,114846,False,39.305,157,31.2101910828025,68.7898089171974,84.7682984170106,14,True,False,False,False
OQ291032,positive,116157,False,39.225,162,34.5679012345679,65.4320987654321,85.8019749132639,14,True,False,False,False
OQ291031,positive,119985,False,39.205,172,33.1395348837209,66.8604651162791,85.1639788306872,21,True,False,False,False
OQ291030,positive,116043,False,39.223,168,32.7380952380952,67.2619047619048,86.3455787940677,22,True,False,False,False
OQ291029,positive,117564,False,39.239,169,33.7278106508876,66.2721893491124,85.859616889524,22,True,False,False,False
OQ291028,positive,42795,False,49.87,67,70.1492537313433,29.8507462686567,92.7795303189625,0,True,False,False,False
OQ291027,positive,41541,False,50.085,60,70.0,30.0,91.7599480031776,0,True,False,False,False
