id,staining,genome_length,jumbophage,gc_%,trna_count,cds_number,coding_capacity,positive_strand_%,negative_strand_%,molecule_type_ss-DNA,molecule_type_DNA,molecule_type_RNA,molecule_type_ss-RNA,topology_circular,topology_linear
OR413344,positive,115218,0,40.127,27,157,84.76540123938967,31.21,68.79,False,True,False,False,False,True
OR413342,positive,109346,0,39.552,16,151,86.56100817588207,31.13,68.87,False,True,False,False,False,True
MN923124,negative,49692,0,48.996,0,82,94.19222410045882,60.98,39.02,False,True,False,False,False,True
OQ451773,negative,41886,0,39.285,0,51,93.61839278040395,100.0,0.0,False,True,False,False,False,True
ON212266,negative,153282,0,49.158,4,192,92.60513302279459,65.62,34.38,False,True,False,False,True,False
MZ892903,negative,170727,0,35.43,0,282,93.55286510042349,15.25,84.75,False,True,False,False,False,True
OR290970,negative,59343,0,56.106,0,82,96.24387038066831,43.9,56.1,False,True,False,False,False,True
ON470617,negative,99607,0,47.338,3,131,85.12955916752838,51.15,48.85,False,True,False,False,False,True
OQ745667,negative,34257,0,40.622,0,60,90.62965233382958,40.0,60.0,False,True,False,False,False,True
AY129330,positive,59472,0,61.31,0,115,96.61689534570891,92.17,7.83,False,True,False,False,False,True
EU826469,positive,154017,0,64.829,35,221,92.62873578890643,98.19,1.81,False,True,False,False,True,False
AY129332,positive,50913,0,64.184,3,86,91.73099208453637,36.05,63.95,False,True,False,False,False,True
AY129336,positive,56275,0,60.901,0,111,96.9524655708574,90.09,9.91,False,True,False,False,False,True
KY385384,positive,56335,0,61.26,0,103,95.66521700541404,95.15,4.85,False,True,False,False,True,False
KY385381,positive,78536,0,56.889,24,148,92.82876642558826,61.49,38.51,False,True,False,False,True,False
JX262225,positive,29516,0,53.998,0,46,92.51931155983195,50.0,50.0,False,True,False,False,False,True
JX262224,positive,29516,0,54.005,0,46,92.3261959615124,50.0,50.0,False,True,False,False,False,True
JX262223,positive,29348,0,54.365,0,45,92.19026850211259,51.11,48.89,False,True,False,False,False,True
JX262222,positive,29612,0,54.069,0,47,92.94880453870053,48.94,51.06,False,True,False,False,False,True
JX262221,positive,29505,0,53.832,0,45,92.18776478562955,51.11,48.89,False,True,False,False,False,True
JX262220,positive,29506,0,53.762,0,47,93.62841455975057,48.94,51.06,False,True,False,False,False,True
JX262219,positive,29202,0,54.174,0,45,91.71632079994521,48.89,51.11,False,True,False,False,False,True
JX262218,positive,29371,0,53.982,0,45,91.98529161417724,48.89,51.11,False,True,False,False,False,True
JX262217,positive,29574,0,54.135,0,47,93.50442956651112,48.94,51.06,False,True,False,False,False,True
JX262216,positive,29729,0,54.082,0,47,93.47102156143833,48.94,51.06,False,True,False,False,False,True
JX262215,positive,29214,0,54.121,0,45,93.37304032313276,48.89,51.11,False,True,False,False,False,True
DQ398052,positive,78296,0,56.852,22,148,92.8744763461735,59.46,40.54,False,True,False,False,False,True
EU203571,positive,53746,0,67.447,0,78,93.18646969076768,82.05,17.95,False,True,False,False,False,True
EU826471,positive,155372,0,64.72,35,222,192.94918003243828,98.2,1.8,False,True,False,False,True,False
EU826470,positive,49487,0,63.843,0,86,94.41065330288762,48.84,51.16,False,True,False,False,False,True
EU826468,positive,154906,0,64.777,35,222,93.19329141543903,98.2,1.8,False,True,False,False,True,False
EU826467,positive,153894,0,64.743,35,220,93.52086501098158,98.18,1.82,False,True,False,False,True,False
EU826466,positive,164602,0,65.436,41,229,94.89738885311235,98.69,1.31,False,True,False,False,True,False
EU816591,positive,75811,0,62.917,2,143,92.74247800451121,77.62,22.38,False,True,False,False,False,True
EU816589,positive,68090,0,67.566,0,98,94.65266558966074,55.1,44.9,False,True,False,False,True,False
EU816588,positive,76312,0,62.841,2,147,93.50953978404445,76.19,23.81,False,True,False,False,False,True
EU770222,positive,70110,0,56.286,0,92,91.83996576807874,100.0,0.0,False,True,False,False,False,True
EU770221,positive,69904,0,68.342,1,94,96.47659647516595,51.06,48.94,False,True,False,False,False,True
EU744252,positive,51621,0,63.387,0,87,93.54719978303405,43.68,56.32,False,True,False,False,False,True
EU744251,positive,50968,0,63.713,0,94,94.69863443729399,40.43,59.57,False,True,False,False,False,True
EU744250,positive,52892,0,63.263,1,88,93.1123799440369,37.5,62.5,False,True,False,False,False,True
EU744249,positive,51478,0,63.425,0,90,92.74058821244027,42.22,57.78,False,True,False,False,False,True
EU744248,positive,53572,0,63.572,0,89,92.82834316433957,43.82,56.18,False,True,False,False,False,True
EF536069,positive,58692,0,61.739,0,109,95.67232331493219,92.66,7.34,False,True,False,False,False,True
DQ398053,positive,153766,0,64.735,34,218,92.52565586670656,98.17,1.83,False,True,False,False,False,True
DQ398050,positive,56692,0,61.418,0,104,94.60064912156918,97.12,2.88,False,True,False,False,False,True
DQ398048,positive,67188,0,68.963,0,81,92.32898731916414,58.02,41.98,False,True,False,False,False,True
DQ398043,positive,52047,0,62.882,3,98,94.11493457836187,33.67,66.33,False,True,False,False,False,True
DQ398049,positive,69059,0,67.335,0,102,95.6616805919576,54.9,45.1,False,True,False,False,False,True
DQ398046,positive,68427,0,66.51,0,100,94.34433776140997,50.0,50.0,False,True,False,False,False,True
DQ398045,positive,56852,0,61.53,0,100,95.45838317033702,95.0,5.0,False,True,False,False,False,True
DQ398044,positive,70654,0,69.106,0,99,96.44039969428484,50.51,49.49,False,True,False,False,False,True
DQ398041,positive,74483,0,62.937,2,142,95.0297383295517,77.46,22.54,False,True,False,False,False,True
AY500153,positive,52250,0,63.246,0,87,92.79617224880383,42.53,57.47,False,True,False,False,False,True
AY500152,positive,51277,0,63.699,0,81,90.13982877313416,45.68,54.32,False,True,False,False,False,True
AF547430,positive,68999,0,66.502,0,100,94.55354425426455,50.0,50.0,False,True,False,False,False,True
AY129338,positive,110865,0,61.375,2,237,94.69444820276914,68.35,31.65,False,True,False,False,False,True
AY129337,positive,156102,0,64.77,28,225,92.00074310386799,98.22,1.78,False,True,False,False,False,True
AY129335,positive,69777,0,65.384,0,122,94.99548561847027,48.36,51.64,False,True,False,False,False,True
AY129334,positive,67480,0,68.957,0,90,95.54831061055128,54.44,45.56,False,True,False,False,False,True
AY129331,positive,75931,0,63.115,1,141,94.28165044579949,76.6,23.4,False,True,False,False,False,True
OR045358,negative,46538,0,38.051,0,101,94.13597490223043,13.86,86.14,False,True,False,False,False,True
OR045357,negative,46523,0,38.052,0,96,193.46989661027877,85.42,14.58,False,True,False,False,True,False
OR045356,negative,45076,0,38.045,0,159,181.27606708669802,27.67,72.33,False,True,False,False,True,False
OR045355,negative,46529,0,38.049,0,100,194.09615508607536,85.0,15.0,False,True,False,False,True,False
OR296439,negative,74437,0,37.211,0,117,91.15224955331354,62.39,37.61,False,True,False,False,False,True
OR296438,negative,33770,0,45.845,0,46,90.9594314480308,0.0,100.0,False,True,False,False,False,True
OR296437,negative,44391,0,44.635,0,56,91.26174224504967,1.79,98.21,False,True,False,False,False,True
OR243293,negative,58476,0,37.036,0,84,88.1848963677406,64.29,35.71,False,True,False,False,False,True
OR062950,positive,140580,0,30.356,4,209,88.49907525963864,26.32,73.68,False,True,False,False,False,True
OR062949,positive,143709,0,30.409,4,216,88.32362621686882,26.85,73.15,False,True,False,False,False,True
OR062948,positive,17209,0,29.281,0,19,94.3808472311,42.11,57.89,False,True,False,False,False,True
OR062947,negative,170844,0,37.547,2,265,93.29563812600969,84.15,15.85,False,True,False,False,False,True
OR062946,negative,167023,0,35.567,10,258,94.11578046137359,16.28,83.72,False,True,False,False,False,True
OR062945,negative,169543,0,37.705,2,270,93.97380015689235,84.44,15.56,False,True,False,False,False,True
OR062944,negative,166904,0,35.391,11,265,94.49024588985286,84.53,15.47,False,True,False,False,False,True
OR062943,negative,138401,0,43.586,4,208,87.05500682798535,55.77,44.23,False,True,False,False,False,True
OR437326,negative,148445,0,39.089,10,269,92.30489406851022,49.44,50.56,False,True,False,False,False,True
OM782678,negative,246348,1,42.601,0,388,92.57026645233573,83.51,16.49,False,True,False,False,False,True
ON470615,negative,95305,0,47.575,3,129,78.60972666701642,40.31,59.69,False,True,False,False,False,True
MT360680,negative,43925,0,54.035,0,49,91.13033579965851,100.0,0.0,False,True,False,False,True,False
MN518893,negative,39255,0,49.899,0,50,91.35651509361865,98.0,2.0,False,True,False,False,False,True
MN518894,negative,39197,0,50.784,0,47,89.21856264510039,95.74,4.26,False,True,False,False,False,True
MT360682,negative,49833,0,45.313,0,67,85.22063692733731,86.57,13.43,False,True,False,False,False,True
MN715150,negative,39277,0,50.378,0,45,86.64612877765614,100.0,0.0,False,True,False,False,False,True
MN218775,negative,39253,0,49.884,0,45,88.59450233103202,100.0,0.0,False,True,False,False,False,True
MN164484,negative,46054,0,43.558,1,76,91.39922699439788,80.26,19.74,False,True,False,False,False,True
OQ357823,negative,43449,0,43.943,0,66,90.34039908858662,80.3,19.7,False,True,False,False,False,True
MT360681,negative,53145,0,44.512,0,76,82.79424216765453,84.21,15.79,False,True,False,False,True,False
MN545971,negative,45806,0,44.509,0,71,85.25957298170546,84.51,15.49,False,True,False,False,False,True
OR067838,negative,149856,0,39.059,10,286,91.48182254964766,49.65,50.35,False,True,False,False,False,True
OR067837,positive,115522,0,39.9,28,179,83.04045982583405,26.26,73.74,False,True,False,False,False,True
OR067836,negative,40461,0,52.873,0,47,92.45940535330318,100.0,0.0,False,True,False,False,False,True
OR067835,positive,43099,0,51.962,0,66,95.89085593633263,100.0,0.0,False,True,False,False,False,True
OR067834,negative,71272,0,43.272,1,85,92.52020428779886,23.53,76.47,False,True,False,False,False,True
OR067833,negative,67890,0,49.791,0,133,76.39858594785682,56.39,43.61,False,True,False,False,False,True
OR083247,negative,114544,0,39.228,20,173,109.08995669786283,32.37,67.63,False,True,False,False,False,True
OR367448,negative,42032,0,58.168,0,51,88.53968405024743,100.0,0.0,False,True,False,False,False,True
OR125561,negative,85754,0,43.381,0,30,16.568323343517505,86.67,13.33,False,True,False,False,False,True
OQ985170,positive,21643,0,35.582,0,36,91.15187358499284,47.22,52.78,False,True,False,False,False,True
OQ985169,positive,21643,0,35.582,0,38,92.27463845123135,44.74,55.26,False,True,False,False,False,True
OQ985168,positive,22005,0,35.446,0,38,92.719836400818,44.74,55.26,False,True,False,False,False,True
OQ985167,positive,21570,0,35.508,0,38,92.26703755215577,44.74,55.26,False,True,False,False,False,True
OQ985166,positive,22045,0,35.836,0,38,92.45633930596507,44.74,55.26,False,True,False,False,False,True
OQ985165,positive,22138,0,35.834,0,38,92.50158099195953,44.74,55.26,False,True,False,False,False,True
OQ985164,positive,21571,0,35.78,0,38,92.26276018728848,44.74,55.26,False,True,False,False,False,True
OQ985163,positive,22139,0,35.833,0,38,92.82262071457609,44.74,55.26,False,True,False,False,False,True
OQ985162,positive,21578,0,35.634,0,38,91.62109556029289,44.74,55.26,False,True,False,False,False,True
OQ985161,positive,21644,0,35.585,0,38,92.60303086305673,44.74,55.26,False,True,False,False,False,True
OQ938542,negative,72781,0,42.735,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ938541,negative,75413,0,42.148,0,0,0.0,0.0,0.0,False,True,False,False,True,False
OQ938574,negative,46410,0,55.667,1,58,90.6571859513036,50.0,50.0,False,True,False,False,False,True
OQ870568,negative,40562,0,49.569,0,49,83.81983136926186,0.0,100.0,False,True,False,False,False,True
OQ870567,negative,40594,0,49.761,0,52,84.82534364684436,0.0,100.0,False,True,False,False,False,True
OQ870566,negative,78665,0,41.934,1,122,87.81033496472382,81.15,18.85,False,True,False,False,False,True
OQ850971,negative,13056,0,46.921,0,30,91.61305147058823,26.67,73.33,False,True,False,False,True,False
OQ850970,negative,35020,0,51.042,0,60,90.40262707024557,91.67,8.33,False,True,False,False,True,False
OQ504984,negative,176354,0,41.661,7,219,93.67748959479229,3.65,96.35,False,True,False,False,False,True
OQ504983,negative,175541,0,41.455,7,234,94.88324664893102,96.15,3.85,False,True,False,False,False,True
OQ504982,negative,177122,0,41.872,7,228,93.6682060952338,4.82,95.18,False,True,False,False,False,True
OQ504981,negative,172946,0,40.943,6,217,95.57838862997698,97.24,2.76,False,True,False,False,False,True
OQ504980,negative,178866,0,42.526,6,210,95.25007547549562,97.62,2.38,False,True,False,False,False,True
OQ504979,negative,172888,0,40.674,7,214,95.06848364258941,96.73,3.27,False,True,False,False,False,True
OQ927978,positive,162022,0,36.996,4,261,94.0748787201738,18.39,81.61,False,True,False,False,False,True
ON531988,negative,49691,0,39.331,0,75,90.93397194663018,73.33,26.67,False,True,False,False,False,True
ON531987,negative,41815,0,39.106,0,68,80.70548846107856,100.0,0.0,False,True,False,False,False,True
ON528933,positive,43398,0,67.547,0,64,89.45803954099267,1.56,98.44,False,True,False,False,False,True
KY608967,negative,168188,0,35.373,0,0,0.0,0.0,0.0,False,True,False,False,True,False
OQ508958,negative,65166,0,39.711,1,81,92.33495994843936,35.8,64.2,False,True,False,False,True,False
OQ508957,negative,141644,0,36.71,14,193,93.67710598401626,58.03,41.97,False,True,False,False,True,False
OQ508956,negative,141431,0,36.669,11,196,93.85636812297162,57.65,42.35,False,True,False,False,True,False
OR228483,negative,39037,0,49.922,0,48,90.65245792453314,0.0,100.0,False,True,False,False,False,True
OR122689,positive,159273,0,36.884,3,259,95.55668569060668,18.15,81.85,False,True,False,False,False,True
OR122688,positive,158291,0,44.873,6,144,81.01976739043913,68.75,31.25,False,True,False,False,False,True
OR122687,positive,114722,0,40.265,29,181,90.94245218876938,67.96,32.04,False,True,False,False,False,True
OR195094,positive,47655,0,67.231,0,79,95.27856468366383,98.73,1.27,False,True,False,False,False,True
MN158218,negative,53042,0,45.788,0,74,91.88379020398929,44.59,55.41,False,True,False,False,False,True
MN158217,negative,51031,0,43.646,0,84,91.3209617683369,72.62,27.38,False,True,False,False,False,True
MN158216,negative,52716,0,44.499,0,88,91.6002731618484,70.45,29.55,False,True,False,False,False,True
MN158215,negative,51448,0,43.442,0,84,90.43694604260612,27.38,72.62,False,True,False,False,False,True
MN158214,negative,50853,0,45.734,0,86,91.95917644976697,29.07,70.93,False,True,False,False,False,True
MN158213,negative,44021,0,54.406,0,59,92.57399877331274,59.32,40.68,False,True,False,False,False,True
MN158212,negative,44592,0,44.358,0,69,86.255382131324,18.84,81.16,False,True,False,False,False,True
MN158211,negative,51031,0,43.648,0,85,91.69132488095471,71.76,28.24,False,True,False,False,False,True
MN158210,negative,52716,0,44.497,0,88,91.6002731618484,70.45,29.55,False,True,False,False,False,True
MN158209,negative,51031,0,43.644,0,84,91.3209617683369,72.62,27.38,False,True,False,False,False,True
MN158208,negative,46736,0,44.15,0,78,90.93846285518657,78.21,21.79,False,True,False,False,False,True
MN158207,negative,46884,0,44.431,0,72,89.44202713079089,73.61,26.39,False,True,False,False,False,True
MN158206,negative,46880,0,44.424,0,73,90.044795221843,72.6,27.4,False,True,False,False,False,True
OR145793,negative,60450,0,45.676,0,127,96.08933002481389,54.33,45.67,False,True,False,False,False,True
OR145792,negative,170558,0,40.864,7,305,96.61053717796878,85.25,14.75,False,True,False,False,False,True
OQ361773,negative,166625,0,41.889,3,264,96.2430607651913,15.53,84.47,False,True,False,False,False,True
ON157416,negative,178510,0,44.79,0,275,94.09052714133662,45.82,54.18,False,True,False,False,False,True
OL828291,negative,174428,0,39.718,0,276,90.63739766551242,15.94,84.06,False,True,False,False,False,True
OL828290,negative,172697,0,39.792,0,278,91.855098814687,14.03,85.97,False,True,False,False,False,True
OL849997,negative,172607,0,39.843,0,275,90.25358183619436,16.0,84.0,False,True,False,False,False,True
ON968456,negative,46546,0,43.716,0,71,194.63541442873716,100.0,0.0,False,True,False,False,True,False
ON968455,negative,37173,0,63.713,0,55,190.64643693002984,70.91,29.09,False,True,False,False,True,False
ON968454,negative,37962,0,61.061,0,65,189.48158685000791,58.46,41.54,False,True,False,False,True,False
ON968453,negative,51031,0,58.651,0,103,90.13932707569909,39.81,60.19,False,True,False,False,True,False
ON968452,negative,72037,0,62.55,0,104,95.55089745547427,87.5,12.5,False,True,False,False,True,False
MZ398245,negative,41384,0,52.921,0,50,93.04320510342161,100.0,0.0,False,True,False,False,False,True
MZ573780,positive,147811,0,31.248,3,206,91.2218982349081,69.9,30.1,False,True,False,False,False,True
OQ745668,negative,43873,0,43.501,0,50,75.75729947803889,0.0,100.0,False,True,False,False,False,True
OQ627802,positive,39536,0,36.238,0,58,87.96792796438689,98.28,1.72,False,True,False,False,False,True
OQ627808,positive,35926,0,37.299,0,57,89.63424817680789,7.02,92.98,False,True,False,False,False,True
OQ627807,positive,36440,0,35.793,0,57,92.24753018660812,94.74,5.26,False,True,False,False,False,True
OQ627806,positive,31477,0,36.363,0,61,82.85097054992534,91.8,8.2,False,True,False,False,False,True
OQ627805,positive,39321,0,36.411,0,65,86.98405432211796,7.69,92.31,False,True,False,False,False,True
OQ627804,positive,39435,0,39.313,0,58,88.80943324457968,87.93,12.07,False,True,False,False,False,True
OQ627803,positive,35411,0,37.449,0,48,82.48284431391374,91.67,8.33,False,True,False,False,False,True
MK630230,negative,110618,0,44.917,23,164,184.29550344428574,70.12,29.88,False,True,False,False,False,True
OK896991,positive,79387,0,32.349,0,106,87.91363825311448,70.75,29.25,False,True,False,False,True,False
OQ955832,negative,57756,0,43.578,0,98,184.21982131726574,55.1,44.9,False,True,False,False,False,True
OR231920,negative,167255,0,39.597,0,278,93.89495082359272,84.53,15.47,False,True,False,False,False,True
OR231919,negative,112468,0,45.405,0,147,85.6670341786108,76.87,23.13,False,True,False,False,True,False
OR231918,negative,167127,0,39.612,0,282,94.09251646951121,85.46,14.54,False,True,False,False,True,False
OR231917,negative,174824,0,40.652,0,302,94.6380359676017,15.23,84.77,False,True,False,False,True,False
OR231916,negative,110667,0,45.34,0,151,81.31963457941391,76.16,23.84,False,True,False,False,True,False
OR231915,negative,167066,0,39.581,0,279,93.51453916416267,84.95,15.05,False,True,False,False,True,False
OQ076693,negative,170429,0,37.593,0,273,93.82382106331669,15.38,84.62,False,True,False,False,False,True
OQ860987,positive,38461,0,50.888,0,49,90.98307376303268,0.0,100.0,False,True,False,False,False,True
OQ860986,positive,38461,0,50.896,0,48,90.73867034138478,100.0,0.0,False,True,False,False,False,True
OQ860984,positive,38664,0,51.079,0,52,91.62269811711153,98.08,1.92,False,True,False,False,False,True
OQ291079,positive,43080,0,49.937,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291078,positive,43046,0,49.8,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291077,positive,43080,0,49.935,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291076,positive,43081,0,49.952,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291075,positive,41413,0,50.086,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291074,positive,43066,0,49.912,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291073,positive,43066,0,49.914,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291072,positive,43066,0,49.865,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291071,positive,43066,0,49.914,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291070,positive,43066,0,49.912,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291069,positive,43066,0,49.912,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291068,positive,43066,0,49.912,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291067,positive,43559,0,49.863,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291066,positive,43066,0,49.912,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291065,positive,43066,0,49.912,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291064,positive,43057,0,49.904,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291063,positive,43066,0,49.891,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291062,positive,43066,0,49.912,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291061,positive,108179,0,39.38,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291060,positive,109291,0,39.268,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291059,positive,106332,0,39.157,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291058,positive,106664,0,39.08,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291057,positive,106641,0,39.084,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291056,positive,106672,0,39.08,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291055,positive,44271,0,47.848,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291054,positive,44269,0,47.851,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291053,positive,41413,0,50.091,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291052,positive,43081,0,49.957,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291051,positive,43066,0,49.914,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291049,positive,35364,0,49.859,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291048,positive,43066,0,49.914,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291047,positive,43066,0,49.916,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291046,positive,43089,0,49.932,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291045,positive,106672,0,39.08,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291044,positive,41423,0,50.088,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291043,positive,43079,0,49.936,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291042,positive,44293,0,47.856,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291041,positive,43039,0,49.822,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291040,positive,43065,0,49.906,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291039,positive,43080,0,49.935,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291038,positive,43089,0,49.934,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291037,positive,42735,0,49.917,0,0,0.0,0.0,0.0,False,True,False,False,False,True
OQ291036,positive,115013,0,39.117,14,144,94.93448566683766,32.64,67.36,False,True,False,False,False,True
OQ291035,positive,117738,0,39.516,10,153,95.34644719631726,30.07,69.93,False,True,False,False,False,True
OQ291034,positive,119011,0,39.351,16,153,96.57510650276025,30.07,69.93,False,True,False,False,False,True
OQ291033,positive,114846,0,39.305,12,140,95.20488306079446,30.71,69.29,False,True,False,False,False,True
OQ291032,positive,116157,0,39.225,9,147,96.08891414206634,31.97,68.03,False,True,False,False,False,True
OQ291031,positive,119985,0,39.205,15,155,96.09117806392466,30.97,69.03,False,True,False,False,False,True
OQ291030,positive,116043,0,39.223,17,151,96.0885189110933,30.46,69.54,False,True,False,False,False,True
OQ291029,positive,117564,0,39.239,17,153,96.09574359497806,31.37,68.63,False,True,False,False,False,True
OQ291028,positive,42795,0,49.87,0,70,93.80301437083772,68.57,31.43,False,True,False,False,False,True
OQ291027,positive,41541,0,50.085,0,64,92.90821116487325,68.75,31.25,False,True,False,False,False,True
OQ291026,positive,42735,0,49.851,0,68,92.96595296595297,67.65,32.35,False,True,False,False,False,True
OQ291025,positive,44304,0,47.847,0,57,93.63488624052005,98.25,1.75,False,True,False,False,False,True
OQ291024,positive,42734,0,49.916,0,67,92.30121214957646,68.66,31.34,False,True,False,False,False,True
OQ291023,positive,44834,0,54.816,0,64,93.95994111611724,60.94,39.06,False,True,False,False,False,True
OQ291022,positive,43087,0,49.897,0,66,93.63381066214868,69.7,30.3,False,True,False,False,False,True
OQ291021,positive,43039,0,49.82,0,67,93.76611910128022,70.15,29.85,False,True,False,False,False,True
OQ291020,positive,43066,0,49.914,0,66,93.72126503506246,71.21,28.79,False,True,False,False,False,True
OP131588,negative,37472,0,67.522,0,48,95.02295046968403,89.58,10.42,False,True,False,False,False,True
OP131590,negative,39879,0,65.162,0,53,93.33483788460092,90.57,9.43,False,True,False,False,False,True
OP131589,negative,39584,0,66.09,0,48,93.57568714632175,66.67,33.33,False,True,False,False,False,True
OP131587,negative,40526,0,64.963,0,53,92.25929033213247,90.57,9.43,False,True,False,False,False,True
ON548431,negative,44379,0,54.391,0,56,93.1251267491381,55.36,44.64,False,True,False,False,False,True
OM049504,negative,55655,0,64.531,0,87,91.17779175276256,66.67,33.33,False,True,False,False,True,False
OR061069,negative,45294,0,50.863,0,104,87.83061774186427,58.65,41.35,False,True,False,False,False,True
OR061068,negative,45236,0,50.858,0,95,90.85020779909806,65.26,34.74,False,True,False,False,True,False
OQ985197,positive,47372,0,67.223,0,78,95.02448703875707,98.72,1.28,False,True,False,False,False,True
OR147960,negative,82795,0,47.476,0,126,93.47665921855184,100.0,0.0,False,True,False,False,False,True
